capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8237,-6.0,2.0,,,,,,,,,,
-196.0,7.0,0.0,,,,,,,,,,
2142.0,3.0,2.0,1111.02,0.91,0.91,0.91,0.0,1.0,1.0,1.0,0.0,0.112
5782.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9000,0.0,0.0,,,,,,,,,,
0.0,1.0,0.0,,,,,,,,,,
4910.0,0.0,0.0,1120.54,0.98,0.98,0.98,0.0,1.0,1.0,1.0,0.0,0.0672
3000.0,5.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
-16830.0,0.0,0.0,,,,,,,,,,
9021,6.0,0.0,,,,,,,,,,
-4248.0,0.0,0.0,1113.99,0.98,0.98,0.98,0.0,1.0,1.0,1.0,0.0,0.0442
5999.0,0.0,5.0,,,,,,,,,,
,,,,,,,,,,,,
367.0,-6.0,0.0,,,,,,,,,,
-1555.0,1.0,0.0,,,,,,,,,,
0.0,1.0,0.0,1119.96,0.96,0.96,0.96,0.0,1.0,1.0,1.0,0.0,0.0569
8689,0.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8267,3.0,0.0,,,,,,,,,,
0.0,-6.0,0.0,,,,,,,,,,
0.0,3.0,0.0,1131.32,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.0406
0.0,3.0,0.0,,,,,,,,,,
2649.0,-3.0,5.0,,,,,,,,,,
,,,,,,,,,,,,
9969,-4.0,0.0,,,,,,,,,,
0.0,-1.0,0.0,,,,,,,,,,
0.0,-6.0,0.0,1114.14,0.98,0.97,0.97,0.01,1.0,1.0,1.0,0.0,0.0177
-2978.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10594,1.0,2.0,,,,,,,,,,
0.0,-2.0,0.0,,,,,,,,,,
1353.0,-1.0,1.0,1125.34,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1503
1473.0,-1.0,1.0,,,,,,,,,,
3860.0,18.0,12.0,,,,,,,,,,
,,,,,,,,,,,,
4743.0,7.0,1.0,,,,,,,,,,
-6097.0,-4.0,0.0,1103.52,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1364
8916,-17.0,13.0,,,,,,,,,,
,,,,,,,,,,,,
7938,-5.0,2.0,,,,,,,,,,
-2368.0,9.0,0.0,,,,,,,,,,
0.0,-1.0,0.0,1102.8,0.87,0.82,0.84,0.05,1.0,1.0,1.0,0.0,0.0644
0.0,-3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-7450.0,-9.0,0.0,,,,,,,,,,
4946.0,-4.0,1.0,1103.08,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.1198
9629,-2.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
8687,6.0,0.0,,,,,,,,,,
2483.0,0.0,0.0,,,,,,,,,,
-2564.0,0.0,0.0,1131.3,0.98,0.98,0.98,0.0,1.0,1.0,1.0,0.0,0.0521
0.0,2.0,0.0,,,,,,,,,,
1123.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
3782.0,20.0,5.0,,,,,,,,,,
2290.0,10.0,1.0,,,,,,,,,,
3000.0,10.0,0.0,1108.24,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1517
7908,24.0,10.0,,,,,,,,,,
,,,,,,,,,,,,
7918,8.0,2.0,,,,,,,,,,
3838.0,-4.0,1.0,,,,,,,,,,
3112.0,2.0,2.0,1101.94,0.92,0.92,0.92,0.0,1.0,1.0,1.0,0.0,0.2085
5465.0,5.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
9430,6.0,1.0,,,,,,,,,,
2734.0,3.0,0.0,1097.13,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.1613
2517.0,6.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8936,0.0,0.0,,,,,,,,,,
2971.0,0.0,0.0,,,,,,,,,,
1522.0,0.0,0.0,1133.38,0.98,0.98,0.98,0.0,1.0,1.0,1.0,0.0,0.0104
-2916.0,-1.0,0.0,,,,,,,,,,
-1039.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10088,4.0,1.0,,,,,,,,,,
5192.0,13.0,1.0,1087.42,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.2463
,,,,,,,,,,,,
7769,15.0,4.0,,,,,,,,,,
1011.0,0.0,2.0,,,,,,,,,,
2205.0,0.0,1.0,1104.38,0.93,0.92,0.93,0.01,1.0,1.0,1.0,0.0,0.1919
5619.0,1.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8336,-1.0,2.0,,,,,,,,,,
5334.0,1.0,3.0,,,,,,,,,,
2144.0,-2.0,9.0,1106.96,0.96,0.96,0.96,0.0,1.0,1.0,1.0,0.0,0.1494
3070.0,-6.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
6643.0,16.0,2.0,,,,,,,,,,
1556.0,-3.0,1.0,,,,,,,,,,
971.0,4.0,0.0,1108.33,0.95,0.96,0.95,0.01,1.0,1.0,1.0,0.0,0.1296
8236,6.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-1402.0,0.0,0.0,,,,,,,,,,
3396.0,1.0,2.0,,,,,,,,,,
2213.0,4.0,1.0,1125.69,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.1653
2942.0,2.0,3.0,,,,,,,,,,
8552,26.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
7936,2.0,1.0,,,,,,,,,,
2763.0,-1.0,0.0,,,,,,,,,,
2404.0,0.0,0.0,1105.51,0.91,0.89,0.9,0.02,1.0,1.0,1.0,0.0,0.1058
3714.0,5.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
365.0,6.0,4.0,,,,,,,,,,
7936,0.0,0.0,,,,,,,,,,
-3635.0,0.0,0.0,1124.94,0.92,0.91,0.92,0.01,1.0,1.0,1.0,0.0,0.1032
1930.0,-1.0,1.0,,,,,,,,,,
2931.0,1.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
7576.0,6.0,2.0,,,,,,,,,,
10464,0.0,1.0,1117.08,0.97,0.97,0.97,0.0,2.0,2.0,2.0,0.0,0.2212
,,,,,,,,,,,,
1451.0,8.0,2.0,,,,,,,,,,
7981,5.0,2.0,,,,,,,,,,
1154.0,3.0,2.0,1103.45,0.91,0.9,0.91,0.01,1.0,1.0,1.0,0.0,0.1856
-1945.0,7.0,15.0,,,,,,,,,,
,,,,,,,,,,,,
86504.0,-1.0,5.0,,,,,,,,,,
4231.0,1.0,5.0,,,,,,,,,,
7303.0,5.0,0.0,1214.98,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.2003
8614.0,3.0,2.0,,,,,,,,,,
11308.0,22.0,15.0,,,,,,,,,,
,,,,,,,,,,,,
9862,9.0,3.0,,,,,,,,,,
1752.0,16.0,3.0,1098.46,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1461
2662.0,-3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8429,4.0,3.0,,,,,,,,,,
5717.0,1.0,1.0,,,,,,,,,,
2848.0,-2.0,0.0,1124.38,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.1585
-578.0,6.0,1.0,,,,,,,,,,
410.0,-3.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
1118.0,19.0,5.0,,,,,,,,,,
9804,2.0,3.0,,,,,,,,,,
0.0,-1.0,0.0,1125.68,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.1535
2520.0,6.0,1.0,,,,,,,,,,
763.0,3.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8524,0.0,1.0,,,,,,,,,,
-708.0,-1.0,0.0,,,,,,,,,,
1971.0,1.0,0.0,1111.92,0.96,0.96,0.96,0.0,1.0,1.0,1.0,0.0,0.0624
3692.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9054,10.0,1.0,,,,,,,,,,
5736.0,0.0,5.0,,,,,,,,,,
4822.0,0.0,1.0,1105.26,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1953
694.0,6.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8951,20.0,4.0,,,,,,,,,,
2921.0,6.0,1.0,,,,,,,,,,
2691.0,-1.0,0.0,1115.74,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.1642
1003.0,-1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8817,3.0,2.0,,,,,,,,,,
2467.0,2.0,3.0,,,,,,,,,,
374.0,2.0,3.0,1111.22,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.1372
5133.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8997,-3.0,2.0,,,,,,,,,,
4659.0,0.0,2.0,,,,,,,,,,
-118.0,3.0,0.0,1127.22,0.96,0.96,0.96,0.0,1.0,1.0,1.0,0.0,0.1117
4837.0,4.0,0.0,,,,,,,,,,
2056.0,9.0,6.0,,,,,,,,,,
,,,,,,,,,,,,
8951,0.0,1.0,,,,,,,,,,
1917.0,3.0,0.0,,,,,,,,,,
0.0,-1.0,0.0,1109.99,0.96,0.96,0.96,0.0,1.0,1.0,1.0,0.0,0.1025
2989.0,3.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
9254,10.0,3.0,,,,,,,,,,
4433.0,13.0,3.0,,,,,,,,,,
5681.0,3.0,5.0,1124.03,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1765
5961.0,2.0,3.0,,,,,,,,,,
6441.0,8.0,5.0,,,,,,,,,,
,,,,,,,,,,,,
9766,1.0,2.0,,,,,,,,,,
-984.0,3.0,0.0,,,,,,,,,,
0.0,1.0,0.0,1113.15,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.0572
2742.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8441,1.0,5.0,,,,,,,,,,
3897.0,6.0,2.0,,,,,,,,,,
2796.0,0.0,1.0,1107.53,0.96,0.96,0.96,0.0,1.0,1.0,1.0,0.0,0.1408
2386.0,4.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9615,18.0,4.0,,,,,,,,,,
-2221.0,-1.0,0.0,,,,,,,,,,
4035.0,5.0,1.0,1127.11,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.1369
2923.0,0.0,0.0,,,,,,,,,,
5146.0,-6.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
7657,5.0,1.0,,,,,,,,,,
819.0,0.0,1.0,1090.7,0.82,0.78,0.8,0.04,1.0,1.0,1.0,0.0,0.1493
2486.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
7409,4.0,0.0,,,,,,,,,,
866.0,2.0,0.0,,,,,,,,,,
-765.0,5.0,3.0,1101.38,0.83,0.79,0.81,0.04,1.0,1.0,1.0,0.0,0.0533
-2621.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
