FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
4.6744,2.6451,0.0,1041.54,0.76,0.81,0.79,0.05,0.2317
,,,,,,,,
10.0,3.7687,1.7906,1043.73,0.91,1.0,0.96,0.09,0.3642
,,,,,,,,
10.0,2.6546,0.0,1038.53,0.76,0.81,0.79,0.05,0.3105
,,,,,,,,
3.4457,3.4438,2.4382,1041.0,0.76,0.81,0.79,0.05,0.247
,,,,,,,,
10.0,3.7442,1.7757,1043.77,0.91,1.0,0.96,0.09,0.3633
,,,,,,,,
7.6604,2.3373,0.0,1037.88,0.74,0.81,0.78,0.07,0.2863
,,,,,,,,
10.0,3.8203,0.8286,1044.1,0.91,1.0,0.96,0.09,0.355
,,,,,,,,
10.0,3.2537,0.8906,1043.56,0.88,0.95,0.92,0.07,0.3386
,,,,,,,,
10.0,3.7757,1.6365,1043.72,0.91,1.0,0.96,0.09,0.3627
,,,,,,,,
10.0,3.7704,2.5978,1043.37,0.91,1.0,0.96,0.09,0.3732
,,,,,,,,
10.0,3.2363,3.494,1044.47,0.91,0.95,0.93,0.04,0.367
,,,,,,,,
3.2948,4.5011,2.6262,,,,,,
1.4424,0.2977,0.8699,1054.72,0.79,0.86,0.82,0.07,0.172
,,,,,,,,
10.0,3.2355,1.6561,1043.17,0.88,0.95,0.92,0.07,0.3465
,,,,,,,,
3.1816,7.3455,6.4613,,,,,,
1.2619,0.4269,5.0863,,,,,,
1.0126,0.2491,5.1713,1072.67,0.82,0.9,0.86,0.08,0.1814
1.0654,1.0106,5.5283,,,,,,
,,,,,,,,
10.0,3.7828,2.6375,1043.14,0.91,1.0,0.96,0.09,0.374
,,,,,,,,
0.4909,4.1054,4.4394,,,,,,
3.0937,1.3731,11.3838,,,,,,
2.2288,1.5919,12.3085,1064.58,0.74,0.76,0.75,0.02,0.2159
2.7613,1.62,1.0402,,,,,,
,,,,,,,,
2.499,3.1021,15.1525,,,,,,
3.8288,2.6302,4.6974,,,,,,
2.9445,4.1235,9.0788,1069.95,0.82,0.9,0.86,0.08,0.2818
3.7615,1.7066,3.6635,,,,,,
,,,,,,,,
0.2662,1.4805,4.5748,,,,,,
3.4681,3.4524,1.407,,,,,,
1.7749,2.253,4.7971,1072.73,0.74,0.81,0.78,0.07,0.1527
0.8661,1.0184,1.6272,,,,,,
,,,,,,,,
0.0,2.7307,4.1296,,,,,,
3.181,1.4975,7.4347,,,,,,
3.1928,2.393,11.8018,1071.73,0.74,0.76,0.75,0.02,0.1989
1.375,1.6387,2.3606,,,,,,
,,,,,,,,
0.0,2.3763,7.2924,,,,,,
2.7889,2.9715,8.6232,,,,,,
4.7194,3.2907,9.5427,1077.28,0.91,1.0,0.96,0.09,0.2628
2.3859,3.0581,7.6134,,,,,,
,,,,,,,,
0.0,1.3519,6.4344,,,,,,
2.0621,4.3958,8.0999,,,,,,
4.2039,3.1717,10.0749,1087.77,0.88,0.95,0.92,0.07,0.2333
1.2462,3.6204,6.575,,,,,,
2.9177,2.5099,0.8352,,,,,,
,,,,,,,,
2.3169,1.8292,11.8437,,,,,,
3.1009,4.0776,6.2254,,,,,,
3.0421,5.2747,7.7249,1074.05,0.91,1.0,0.96,0.09,0.3014
4.7361,3.7971,3.2358,,,,,,
,,,,,,,,
0.2466,1.8892,7.3143,,,,,,
4.7385,3.4227,4.7283,,,,,,
2.2075,1.8913,8.4903,1079.37,0.91,1.0,0.96,0.09,0.2112
0.617,1.7997,7.091,,,,,,
,,,,,,,,
0.5371,1.8023,7.5852,,,,,,
1.0506,1.5225,14.7335,,,,,,
1.0165,2.7058,2.3696,1067.91,0.74,0.81,0.78,0.07,0.1745
0.9134,1.5804,7.0018,,,,,,
,,,,,,,,
0.0,1.3189,7.6161,,,,,,
3.5814,3.1148,6.9051,,,,,,
3.9628,2.3546,8.9999,1070.89,0.79,0.86,0.82,0.07,0.2191
2.0109,1.7416,3.2507,,,,,,
,,,,,,,,
0.0,0.8394,8.2881,,,,,,
2.1247,2.4767,4.0535,,,,,,
3.1734,4.49,5.242,1085.77,0.82,0.9,0.86,0.08,0.1882
3.0305,1.7819,2.0332,,,,,,
2.6235,1.6317,0.8192,,,,,,
,,,,,,,,
0.193,0.7829,5.9857,,,,,,
3.493,2.2943,7.5199,,,,,,
3.653,2.3913,4.6622,1081.05,0.74,0.81,0.78,0.07,0.2088
3.0906,3.2432,6.8141,,,,,,
2.3585,2.2567,-0.107,,,,,,
,,,,,,,,
0.2827,2.6691,11.695,,,,,,
3.1512,2.6575,11.9534,1062.22,0.76,0.76,0.76,0.0,0.2089
1.1627,0.9182,2.7421,,,,,,
,,,,,,,,
0.6175,1.682,10.938,,,,,,
3.5911,2.0713,8.002,,,,,,
2.7806,2.0301,12.4967,1067.91,0.74,0.81,0.78,0.07,0.242
1.8268,2.8948,6.3616,,,,,,
,,,,,,,,
0.9812,2.9148,14.3511,,,,,,
4.779,3.3751,4.9239,,,,,,
2.1513,3.0964,5.1026,1089.09,0.91,1.0,0.96,0.09,0.2302
2.4836,4.9601,1.5838,,,,,,
1.0066,1.0782,1.9761,,,,,,
,,,,,,,,
0.0,1.8453,9.1519,,,,,,
3.4527,3.1198,4.0641,,,,,,
2.0752,1.0635,1.0213,1071.3,0.74,0.81,0.78,0.07,0.1605
1.3258,1.1697,2.7037,,,,,,
,,,,,,,,
0.2943,3.2987,16.34,,,,,,
3.53,2.0243,9.7035,,,,,,
2.1854,2.3858,4.7598,1089.16,0.91,0.9,0.91,0.01,0.2598
2.4165,4.1574,9.6371,,,,,,
1.9957,3.5967,-4.5905,,,,,,
,,,,,,,,
0.0,2.4458,12.7899,,,,,,
3.1592,3.2486,6.7187,,,,,,
2.9607,1.9323,3.5135,1069.47,0.74,0.81,0.78,0.07,0.2049
1.5245,1.5442,2.8211,,,,,,
,,,,,,,,
0.0,2.3809,5.5864,,,,,,
3.2727,3.6864,7.4354,,,,,,
2.2137,0.7599,0.0687,1073.62,0.79,0.86,0.82,0.07,0.1568
0.3526,-0.8849,4.1303,,,,,,
,,,,,,,,
0.585,1.6258,11.9605,,,,,,
1.4261,1.6913,6.6226,,,,,,
1.9362,0.7633,0.7094,1083.84,0.74,0.76,0.75,0.02,0.1602
0.6261,1.8354,0.7964,,,,,,
3.6731,3.5564,-1.0466,,,,,,
,,,,,,,,
0.294,1.4435,7.5732,,,,,,
1.4401,2.6816,9.5338,,,,,,
1.518,3.1429,2.3509,1081.82,0.74,0.81,0.78,0.07,0.1896
2.0485,1.9319,1.3534,,,,,,
4.0024,3.2162,-1.678,,,,,,
,,,,,,,,
0.292,1.4002,6.0986,,,,,,
3.9727,3.102,9.3999,,,,,,
0.6812,2.0792,2.9777,1075.46,0.82,0.9,0.86,0.08,0.1733
1.327,0.9362,4.0015,,,,,,
,,,,,,,,
0.2947,2.5147,8.3527,,,,,,
2.705,3.3143,14.4428,,,,,,
2.8367,3.3696,9.3771,1081.02,0.79,0.86,0.82,0.07,0.2645
1.5017,3.0019,9.491,,,,,,
1.3216,5.1971,-4.7049,,,,,,
,,,,,,,,
0.3291,0.469,5.4137,,,,,,
3.5289,3.0251,6.3106,,,,,,
2.0923,2.267,8.7819,1067.72,0.74,0.81,0.78,0.07,0.1938
2.2026,0.0963,8.8733,,,,,,
,,,,,,,,
1.4324,1.1564,6.7532,,,,,,
