FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
0.0,0.0,18.7049,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
0.0,0.0,18.7052,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
0.0,0.0,18.6163,1128.93,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1707
,,,,,,,,,,,,
0.0,0.0,18.602,1128.94,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1706
,,,,,,,,,,,,
0.0,0.0,18.747,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.2958,18.7221,1125.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1811
,,,,,,,,,,,,
0.0,0.0,18.7527,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.7423,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.0,18.7556,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.7301,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.0,18.7682,1126.85,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,,,,,
0.0,0.2976,18.7178,1125.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1811
,,,,,,,,,,,,
0.0,0.0,18.75,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.6645,1126.91,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,,,,,
0.0,0.2976,18.7257,1125.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1812
,,,,,,,,,,,,
0.0,0.0,18.739,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.0,18.7051,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
