capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
2047.0,0.0,0.0,,,,,,,,,,
9001,3.0,0.0,,,,,,,,,,
4622.0,-3.0,2.0,1111.08,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.0682
3042.0,7.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-55212.0,34.0,0.0,,,,,,,,,,
-5901.0,-4.0,0.0,1099.98,0.95,0.96,0.95,0.01,1.0,1.0,1.0,0.0,0.1097
9008,1.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8236,0.0,1.0,,,,,,,,,,
0.0,-2.0,0.0,,,,,,,,,,
4175.0,0.0,1.0,1113.86,0.91,0.94,0.93,0.03,1.0,1.0,1.0,0.0,0.1157
-314.0,1.0,9.0,,,,,,,,,,
,,,,,,,,,,,,
-13671.0,16.0,7.0,,,,,,,,,,
8688,1.0,2.0,,,,,,,,,,
-562.0,6.0,0.0,1108.95,0.95,0.96,0.95,0.01,1.0,1.0,1.0,0.0,0.105
4825.0,0.0,12.0,,,,,,,,,,
,,,,,,,,,,,,
9498,-2.0,0.0,,,,,,,,,,
0.0,-2.0,0.0,,,,,,,,,,
2304.0,2.0,0.0,1131.73,0.97,0.97,0.97,0.0,1.0,1.0,1.0,0.0,0.0324
2878.0,0.0,0.0,,,,,,,,,,
3000.0,5.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
9784,-18.0,2.0,,,,,,,,,,
3604.0,7.0,7.0,1094.45,0.93,0.95,0.94,0.02,1.0,1.0,1.0,0.0,0.1859
-2900.0,22.0,15.0,,,,,,,,,,
,,,,,,,,,,,,
10065,5.0,0.0,,,,,,,,,,
-8608.0,-8.0,0.0,,,,,,,,,,
202.0,4.0,0.0,1128.88,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.0794
5858.0,3.0,1.0,,,,,,,,,,
-3827.0,6.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
9395,1.0,0.0,,,,,,,,,,
6826.0,11.0,1.0,1097.43,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1594
1159.0,-14.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
8498,-2.0,2.0,,,,,,,,,,
4784.0,1.0,0.0,,,,,,,,,,
2198.0,1.0,2.0,1125.71,0.94,0.96,0.95,0.02,1.0,1.0,1.0,0.0,0.1108
-2063.0,1.0,0.0,,,,,,,,,,
