capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8002,-1.0,3.0,1061.68,1.0,1.0,1.0,0.0,0.1729
,,,,,,,,
9623,-17.0,0.0,1067.88,1.0,1.0,1.0,0.0,0.0887
,,,,,,,,
9000,3.0,0.0,1068.85,1.0,1.0,1.0,0.0,0.0402
,,,,,,,,
10276,0.0,0.0,1069.22,1.0,1.0,1.0,0.0,0.0343
,,,,,,,,
9000,4.0,0.0,1070.33,1.0,1.0,1.0,0.0,0.0436
,,,,,,,,
8273,3.0,0.0,1068.84,1.0,1.0,1.0,0.0,0.0377
,,,,,,,,
8552,7.0,1.0,1059.21,1.0,1.0,1.0,0.0,0.239
,,,,,,,,
8521,6.0,7.0,1064.92,1.0,1.0,1.0,0.0,0.1155
,,,,,,,,
9052,-4.0,3.0,1058.22,1.0,1.0,1.0,0.0,0.1866
,,,,,,,,
8736,-2.0,2.0,1062.62,1.0,1.0,1.0,0.0,0.2006
,,,,,,,,
8597,-3.0,0.0,1067.57,1.0,1.0,1.0,0.0,0.0389
,,,,,,,,
8560,-1.0,0.0,1066.4,1.0,1.0,1.0,0.0,0.0319
,,,,,,,,
7949,0.0,3.0,1061.97,1.0,1.0,1.0,0.0,0.1693
,,,,,,,,
9951,-5.0,0.0,1066.8,1.0,1.0,1.0,0.0,0.0501
,,,,,,,,
8770,5.0,0.0,1066.49,1.0,1.0,1.0,0.0,0.0462
,,,,,,,,
7788,5.0,3.0,1060.16,1.0,1.0,1.0,0.0,0.1858
,,,,,,,,
8915,5.0,0.0,1069.19,1.0,1.0,1.0,0.0,0.0467
,,,,,,,,
9521,-3.0,1.0,1057.64,1.0,1.0,1.0,0.0,0.2287
,,,,,,,,
8361,-1.0,3.0,1059.63,1.0,1.0,1.0,0.0,0.1741
,,,,,,,,
