capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
7957,2.0,0.0,1097.0,1.0,1.0,1.0,0.0,0.0333
,,,,,,,,
9995,0.0,0.0,1097.0,1.0,1.0,1.0,0.0,0.0333
,,,,,,,,
8084,4.0,2.0,1066.04,1.0,1.0,1.0,0.0,0.372
,,,,,,,,
8234,0.0,1.0,1067.52,1.0,1.0,1.0,0.0,0.3598
,,,,,,,,
7427,18.0,3.0,1053.65,1.0,1.0,1.0,0.0,0.4148
,,,,,,,,
9123,3.0,2.0,1056.61,1.0,1.0,1.0,0.0,0.3721
,,,,,,,,
9347,4.0,1.0,1057.02,1.0,1.0,1.0,0.0,0.3771
,,,,,,,,
8990,13.0,4.0,1063.35,1.0,1.0,1.0,0.0,0.4008
,,,,,,,,
9974,22.0,6.0,1056.53,1.0,1.0,1.0,0.0,0.4293
,,,,,,,,
8259,0.0,0.0,1097.22,1.0,1.0,1.0,0.0,0.0275
,,,,,,,,
7582,2.0,0.0,1097.01,1.0,1.0,1.0,0.0,0.032
,,,,,,,,
8182,3.0,0.0,1096.63,1.0,1.0,1.0,0.0,0.0374
,,,,,,,,
9826,2.0,1.0,1061.31,1.0,1.0,1.0,0.0,0.3719
,,,,,,,,
7784,13.0,4.0,1059.75,1.0,1.0,1.0,0.0,0.3967
,,,,,,,,
9622,22.0,1.0,1060.5,1.0,1.0,1.0,0.0,0.4389
,,,,,,,,
7740,2.0,1.0,1058.63,1.0,1.0,1.0,0.0,0.365
,,,,,,,,
9943,2.0,1.0,1066.49,1.0,1.0,1.0,0.0,0.3723
,,,,,,,,
99999.0,15.0,2.0,,,,,,
10625,0.0,1.0,1257.7,3.0,3.0,3.0,0.0,0.3695
7665.0,0.0,0.0,,,,,,
,,,,,,,,
8230,2.0,0.0,1088.29,1.0,1.0,1.0,0.0,0.0342
,,,,,,,,
99999.0,7.0,9.0,,,,,,
10012,0.0,4.0,1250.87,3.0,3.0,3.0,0.0,0.4339
8313.0,4.0,1.0,,,,,,
,,,,,,,,
7370,3.0,0.0,1096.88,1.0,1.0,1.0,0.0,0.0347
,,,,,,,,
7095,7.0,0.0,1091.58,1.0,1.0,1.0,0.0,0.0474
,,,,,,,,
9910,3.0,1.0,1066.16,1.0,1.0,1.0,0.0,0.3756
,,,,,,,,
8131,10.0,2.0,1064.67,1.0,1.0,1.0,0.0,0.3925
,,,,,,,,
8259,-1.0,3.0,1058.88,1.0,1.0,1.0,0.0,0.36
,,,,,,,,
9786,6.0,1.0,1061.06,1.0,1.0,1.0,0.0,0.3854
,,,,,,,,
9338,12.0,2.0,1059.36,1.0,1.0,1.0,0.0,0.4033
,,,,,,,,
8158,20.0,1.0,1056.98,1.0,1.0,1.0,0.0,0.4273
,,,,,,,,
8194,3.0,0.0,1091.24,1.0,1.0,1.0,0.0,0.0375
,,,,,,,,
8867,12.0,3.0,1051.27,1.0,1.0,1.0,0.0,0.3993
,,,,,,,,
8653,6.0,2.0,1061.47,1.0,1.0,1.0,0.0,0.3807
,,,,,,,,
7403,19.0,1.0,1061.83,1.0,1.0,1.0,0.0,0.4214
,,,,,,,,
8028,17.0,3.0,1058.08,1.0,1.0,1.0,0.0,0.4134
,,,,,,,,
8572,4.0,1.0,1066.04,1.0,1.0,1.0,0.0,0.3745
,,,,,,,,
8117,6.0,1.0,1061.02,1.0,1.0,1.0,0.0,0.3798
,,,,,,,,
7409,0.0,0.0,1097.74,1.0,1.0,1.0,0.0,0.0247
,,,,,,,,
7767,19.0,0.0,1083.04,1.0,1.0,1.0,0.0,0.0902
,,,,,,,,
9250,3.0,0.0,1087.42,1.0,1.0,1.0,0.0,0.041
,,,,,,,,
8458,16.0,0.0,1092.36,1.0,1.0,1.0,0.0,0.0824
,,,,,,,,
8198,2.0,3.0,1062.85,1.0,1.0,1.0,0.0,0.3632
,,,,,,,,
8539,3.0,0.0,1096.52,1.0,1.0,1.0,0.0,0.0386
,,,,,,,,
8163,6.0,3.0,1061.84,1.0,1.0,1.0,0.0,0.3766
,,,,,,,,
7846,3.0,3.0,1062.55,1.0,1.0,1.0,0.0,0.3654
,,,,,,,,
8075,18.0,1.0,1053.16,1.0,1.0,1.0,0.0,0.4203
,,,,,,,,
8345,4.0,2.0,1065.74,1.0,1.0,1.0,0.0,0.3729
,,,,,,,,
7610,16.0,4.0,1054.89,1.0,1.0,1.0,0.0,0.4063
,,,,,,,,
7881,0.0,1.0,1063.48,1.0,1.0,1.0,0.0,0.3587
,,,,,,,,
7994,12.0,2.0,1059.73,1.0,1.0,1.0,0.0,0.3988
,,,,,,,,
9426,0.0,1.0,1057.8,1.0,1.0,1.0,0.0,0.3638
,,,,,,,,
7551,6.0,0.0,1095.79,1.0,1.0,1.0,0.0,0.0455
,,,,,,,,
9522,10.0,1.0,1059.67,1.0,1.0,1.0,0.0,0.398
,,,,,,,,
8766,3.0,1.0,1057.86,1.0,1.0,1.0,0.0,0.3718
,,,,,,,,
9242,15.0,1.0,1053.92,1.0,1.0,1.0,0.0,0.414
,,,,,,,,
9436,6.0,1.0,1065.1,1.0,1.0,1.0,0.0,0.3842
,,,,,,,,
8745,6.0,0.0,1095.44,1.0,1.0,1.0,0.0,0.0495
,,,,,,,,
7234,7.0,0.0,1083.15,1.0,1.0,1.0,0.0,0.0478
,,,,,,,,
7134,4.0,0.0,1092.29,1.0,1.0,1.0,0.0,0.0373
,,,,,,,,
8094,0.0,1.0,1067.65,1.0,1.0,1.0,0.0,0.3594
,,,,,,,,
7658,0.0,0.0,1097.5,1.0,1.0,1.0,0.0,0.0255
,,,,,,,,
8077,5.0,1.0,1065.8,1.0,1.0,1.0,0.0,0.3763
,,,,,,,,
7476,31.0,7.0,1054.98,1.0,1.0,1.0,0.0,0.4495
,,,,,,,,
8154,5.0,0.0,1096.03,1.0,1.0,1.0,0.0,0.0441
,,,,,,,,
8790,0.0,1.0,1067.21,1.0,1.0,1.0,0.0,0.3617
,,,,,,,,
7354,13.0,2.0,1059.48,1.0,1.0,1.0,0.0,0.4001
,,,,,,,,
8019,5.0,0.0,1095.73,1.0,1.0,1.0,0.0,0.0437
,,,,,,,,
8643,18.0,2.0,1057.6,1.0,1.0,1.0,0.0,0.4213
,,,,,,,,
7933,16.0,1.0,1058.42,1.0,1.0,1.0,0.0,0.413
,,,,,,,,
7304,3.0,0.0,1092.62,1.0,1.0,1.0,0.0,0.0345
,,,,,,,,
8355,33.0,8.0,1053.24,1.0,1.0,1.0,0.0,0.4671
,,,,,,,,
8519,15.0,1.0,1058.56,1.0,1.0,1.0,0.0,0.4116
,,,,,,,,
9778,3.0,1.0,1065.7,1.0,1.0,1.0,0.0,0.3752
,,,,,,,,
10313,3.0,1.0,1066.04,1.0,1.0,1.0,0.0,0.3769
,,,,,,,,
8357,9.0,0.0,1094.39,1.0,1.0,1.0,0.0,0.0584
,,,,,,,,
8141,3.0,0.0,1092.16,1.0,1.0,1.0,0.0,0.0373
,,,,,,,,
9569,5.0,2.0,1061.49,1.0,1.0,1.0,0.0,0.3804
,,,,,,,,
7668,4.0,0.0,1092.14,1.0,1.0,1.0,0.0,0.0391
,,,,,,,,
8652,16.0,0.0,1083.86,1.0,1.0,1.0,0.0,0.083
,,,,,,,,
9560,6.0,1.0,1065.1,1.0,1.0,1.0,0.0,0.3846
,,,,,,,,
8847,23.0,2.0,1055.55,1.0,1.0,1.0,0.0,0.4388
,,,,,,,,
8331,0.0,0.0,1097.17,1.0,1.0,1.0,0.0,0.0278
,,,,,,,,
8201,5.0,0.0,1096.01,1.0,1.0,1.0,0.0,0.0443
,,,,,,,,
8512,3.0,0.0,1096.54,1.0,1.0,1.0,0.0,0.0385
,,,,,,,,
8661,6.0,2.0,1065.45,1.0,1.0,1.0,0.0,0.3808
,,,,,,,,
9403,2.0,0.0,1096.46,1.0,1.0,1.0,0.0,0.0381
,,,,,,,,
8604,0.0,0.0,1097.17,1.0,1.0,1.0,0.0,0.0287
,,,,,,,,
8975,7.0,0.0,1094.84,1.0,1.0,1.0,0.0,0.0536
,,,,,,,,
8197,3.0,0.0,1092.36,1.0,1.0,1.0,0.0,0.0375
,,,,,,,,
8340,0.0,0.0,1097.5,1.0,1.0,1.0,0.0,0.0278
,,,,,,,,
8500,13.0,1.0,1063.36,1.0,1.0,1.0,0.0,0.4048
,,,,,,,,
9723,7.0,0.0,1094.83,1.0,1.0,1.0,0.0,0.0561
,,,,,,,,
7994,12.0,5.0,1059.9,1.0,1.0,1.0,0.0,0.3947
,,,,,,,,
8363,17.0,2.0,1058.2,1.0,1.0,1.0,0.0,0.417
,,,,,,,,
7778,2.0,2.0,1062.93,1.0,1.0,1.0,0.0,0.3643
,,,,,,,,
7274.0,8,4.0,1061.63,1.0,1.0,1.0,0.0,0.3781
,,,,,,,,
8537,2.0,1.0,1062.51,1.0,1.0,1.0,0.0,0.3676
,,,,,,,,
8164,11.0,0.0,1094.09,1.0,1.0,1.0,0.0,0.0644
,,,,,,,,
7652,5.0,2.0,1066.1,1.0,1.0,1.0,0.0,0.374
,,,,,,,,
8275,3.0,2.0,1066.76,1.0,1.0,1.0,0.0,0.3693
,,,,,,,,
9856,3.0,2.0,1066.09,1.0,1.0,1.0,0.0,0.3746
,,,,,,,,
8236,3.0,1.0,1062.36,1.0,1.0,1.0,0.0,0.37
,,,,,,,,
9754,11.0,1.0,1063.68,1.0,1.0,1.0,0.0,0.4021
,,,,,,,,
8342,6.0,3.0,1065.99,1.0,1.0,1.0,0.0,0.3772
,,,,,,,,
8432,0.0,3.0,1067.63,1.0,1.0,1.0,0.0,0.3572
,,,,,,,,
8218,9.0,1.0,1064.64,1.0,1.0,1.0,0.0,0.3903
,,,,,,,,
8848,7.0,2.0,1065.06,1.0,1.0,1.0,0.0,0.3848
,,,,,,,,
8010,4.0,1.0,1066.35,1.0,1.0,1.0,0.0,0.3727
,,,,,,,,
7878,6.0,0.0,1095.72,1.0,1.0,1.0,0.0,0.0466
,,,,,,,,
8140,0.0,0.0,1097.56,1.0,1.0,1.0,0.0,0.0271
,,,,,,,,
7993,0.0,0.0,1097.52,1.0,1.0,1.0,0.0,0.0266
,,,,,,,,
8443,6.0,1.0,1065.72,1.0,1.0,1.0,0.0,0.3809
,,,,,,,,
8957,7.0,3.0,1065.56,1.0,1.0,1.0,0.0,0.3827
,,,,,,,,
7994,0.0,0.0,1093.34,1.0,1.0,1.0,0.0,0.0266
,,,,,,,,
8585,0.0,0.0,1097.22,1.0,1.0,1.0,0.0,0.0286
,,,,,,,,
8487,12.0,0.0,1093.68,1.0,1.0,1.0,0.0,0.0689
,,,,,,,,
8320,3.0,3.0,1066.97,1.0,1.0,1.0,0.0,0.367
,,,,,,,,
8552,8.0,1.0,1065.08,1.0,1.0,1.0,0.0,0.388
,,,,,,,,
8112,20.0,0.0,1091.39,1.0,1.0,1.0,0.0,0.0947
,,,,,,,,
7691,1.0,1.0,1063.11,1.0,1.0,1.0,0.0,0.3614
,,,,,,,,
9487,0.0,0.0,1097.16,1.0,1.0,1.0,0.0,0.0316
,,,,,,,,
8824,6.0,1.0,1061.46,1.0,1.0,1.0,0.0,0.3821
,,,,,,,,
8730,9.0,0.0,1094.53,1.0,1.0,1.0,0.0,0.0596
,,,,,,,,
10316,19.0,1.0,1056.53,1.0,1.0,1.0,0.0,0.4311
,,,,,,,,
8222,12.0,2.0,1063.72,1.0,1.0,1.0,0.0,0.3996
,,,,,,,,
8630,8.0,1.0,1064.39,1.0,1.0,1.0,0.0,0.3883
,,,,,,,,
9913,2.0,0.0,1096.38,1.0,1.0,1.0,0.0,0.0398
,,,,,,,,
7397,5.0,3.0,1066.64,1.0,1.0,1.0,0.0,0.3707
,,,,,,,,
9210,2.0,0.0,1096.5,1.0,1.0,1.0,0.0,0.0375
,,,,,,,,
8694,3.0,2.0,1066.41,1.0,1.0,1.0,0.0,0.3707
,,,,,,,,
7898,3.0,0.0,1092.56,1.0,1.0,1.0,0.0,0.0365
,,,,,,,,
7700,3.0,1.0,1066.86,1.0,1.0,1.0,0.0,0.3682
,,,,,,,,
8802,5.0,1.0,1065.68,1.0,1.0,1.0,0.0,0.3787
,,,,,,,,
9996,3.0,4.0,1066.45,1.0,1.0,1.0,0.0,0.3703
,,,,,,,,
8510,0.0,0.0,1097.23,1.0,1.0,1.0,0.0,0.0284
,,,,,,,,
7758,19.0,2.0,1057.68,1.0,1.0,1.0,0.0,0.4217
,,,,,,,,
9180,0.0,1.0,1067.22,1.0,1.0,1.0,0.0,0.363
,,,,,,,,
8218,8.0,0.0,1095.1,1.0,1.0,1.0,0.0,0.0545
,,,,,,,,
8727,3.0,0.0,1096.46,1.0,1.0,1.0,0.0,0.0393
,,,,,,,,
8683,4.0,2.0,1066.22,1.0,1.0,1.0,0.0,0.374
,,,,,,,,
8694,0.0,0.0,1097.39,1.0,1.0,1.0,0.0,0.029
,,,,,,,,
8317,9.0,0.0,1094.76,1.0,1.0,1.0,0.0,0.0582
,,,,,,,,
8451,0.0,2.0,1063.47,1.0,1.0,1.0,0.0,0.3597
,,,,,,,,
7984,1.0,0.0,1097.2,1.0,1.0,1.0,0.0,0.03
,,,,,,,,
8729,0.0,0.0,1097.0,1.0,1.0,1.0,0.0,0.0291
,,,,,,,,
7285,11.0,1.0,1064.42,1.0,1.0,1.0,0.0,0.3939
,,,,,,,,
8792,3.0,0.0,1092.16,1.0,1.0,1.0,0.0,0.0395
,,,,,,,,
8644,0.0,0.0,1097.22,1.0,1.0,1.0,0.0,0.0288
,,,,,,,,
8327,8.0,1.0,1065.14,1.0,1.0,1.0,0.0,0.3873
,,,,,,,,
