capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
,,,,,,,,
8167,5.0,2.0,1059.32,1.0,1.0,1.0,0.0,0.2104
,,,,,,,,
8199,13.0,3.0,1059.39,1.0,1.0,1.0,0.0,0.2159
,,,,,,,,
10143,1.0,1.0,1058.49,1.0,1.0,1.0,0.0,0.2256
,,,,,,,,
9697,10.0,3.0,1059.34,1.0,1.0,1.0,0.0,0.2107
,,,,,,,,
7676,3.0,3.0,1065.76,1.0,1.0,1.0,0.0,0.1802
,,,,,,,,
8862,16.0,1.0,1056.04,1.0,1.0,1.0,0.0,0.2721
,,,,,,,,
8611,3.0,2.0,1062.19,1.0,1.0,1.0,0.0,0.2051
,,,,,,,,
7922,11.0,0.0,1065.52,1.0,1.0,1.0,0.0,0.0637
,,,,,,,,
8271,5.0,2.0,1061.03,1.0,1.0,1.0,0.0,0.2108
,,,,,,,,
10210,8.0,1.0,1059.76,1.0,1.0,1.0,0.0,0.2495
,,,,,,,,
7458.0,5.0,0.0,1067.88,1.0,1.0,1.0,0.0,0.0418
,,,,,,,,
7785,0.0,2.0,1062.47,1.0,1.0,1.0,0.0,0.1922
,,,,,,,,
9660,2.0,0.0,1067.31,1.0,1.0,1.0,0.0,0.039
,,,,,,,,
8430,3.0,2.0,1060.17,1.0,1.0,1.0,0.0,0.2045
,,,,,,,,
8522,2.0,1.0,1058.15,1.0,1.0,1.0,0.0,0.2235
,,,,,,,,
8501,9.0,1.0,1059.24,1.0,1.0,1.0,0.0,0.2472
,,,,,,,,
7926,6.0,5.0,1061.3,1.0,1.0,1.0,0.0,0.1498
,,,,,,,,
8894,16.0,5.0,1062.66,1.0,1.0,1.0,0.0,0.1869
,,,,,,,,
7834,4.0,0.0,1068.43,1.0,1.0,1.0,0.0,0.0397
,,,,,,,,
9599,9.0,1.0,1060.56,1.0,1.0,1.0,0.0,0.2509
,,,,,,,,
8014,0.0,0.0,1073.32,1.0,1.0,1.0,0.0,0.0267
,,,,,,,,
8517,0.0,0.0,1065.72,1.0,1.0,1.0,0.0,0.0284
,,,,,,,,
8764,0.0,1.0,1063.95,1.0,1.0,1.0,0.0,0.2176
,,,,,,,,
7326,0.0,0.0,1070.96,1.0,1.0,1.0,0.0,0.0244
,,,,,,,,
7661,1.0,0.0,1068.4,1.0,1.0,1.0,0.0,0.0289
,,,,,,,,
12573.0,25.0,10.0,,,,,,
10245,7.0,1.0,1135.96,2.0,2.0,2.0,0.0,0.2048
,,,,,,,,
8400,5.0,3.0,1061.6,1.0,1.0,1.0,0.0,0.1894
,,,,,,,,
8263,0.0,2.0,1062.44,1.0,1.0,1.0,0.0,0.1938
,,,,,,,,
7281,20.0,6.0,1065.36,1.0,1.0,1.0,0.0,0.1756
,,,,,,,,
9981,8.0,3.0,1059.76,1.0,1.0,1.0,0.0,0.2048
,,,,,,,,
8631,8.0,0.0,1071.78,1.0,1.0,1.0,0.0,0.0559
,,,,,,,,
7956,2.0,0.0,1068.0,1.0,1.0,1.0,0.0,0.0333
,,,,,,,,
9931.0,45.0,9.0,,,,,,
9049,13.0,4.0,1134.66,2.0,2.0,2.0,0.0,0.2077
,,,,,,,,
8865,5.0,0.0,1072.46,1.0,1.0,1.0,0.0,0.0465
,,,,,,,,
9802,3.0,0.0,1069.94,1.0,1.0,1.0,0.0,0.0428
,,,,,,,,
10073,13.0,4.0,1060.23,1.0,1.0,1.0,0.0,0.2009
,,,,,,,,
8278,1.0,0.0,1070.8,1.0,1.0,1.0,0.0,0.031
,,,,,,,,
8257,10.0,2.0,1060.96,1.0,1.0,1.0,0.0,0.2277
,,,,,,,,
8280,9.0,1.0,1060.46,1.0,1.0,1.0,0.0,0.2465
,,,,,,,,
8667,2.0,0.0,1065.28,1.0,1.0,1.0,0.0,0.0357
,,,,,,,,
8559,14.0,4.0,1062.08,1.0,1.0,1.0,0.0,0.1992
,,,,,,,,
8414,3.0,1.0,1063.27,1.0,1.0,1.0,0.0,0.2266
,,,,,,,,
7570,14.0,8.0,1065.35,1.0,1.0,1.0,0.0,0.1225
,,,,,,,,
7983,10.0,4.0,1061.68,1.0,1.0,1.0,0.0,0.1837
,,,,,,,,
7866,9.0,1.0,1062.69,1.0,1.0,1.0,0.0,0.2451
,,,,,,,,
8090,3.0,0.0,1068.28,1.0,1.0,1.0,0.0,0.0371
,,,,,,,,
9236,2.0,2.0,1060.31,1.0,1.0,1.0,0.0,0.2038
,,,,,,,,
9131,11.0,3.0,1058.83,1.0,1.0,1.0,0.0,0.2122
,,,,,,,,
8166,13.0,6.0,1066.41,1.0,1.0,1.0,0.0,0.1549
,,,,,,,,
8610,9.0,3.0,1061.79,1.0,1.0,1.0,0.0,0.2037
,,,,,,,,
8462,8.0,2.0,1061.19,1.0,1.0,1.0,0.0,0.2216
,,,,,,,,
8076,9.0,2.0,1060.68,1.0,1.0,1.0,0.0,0.2237
,,,,,,,,
8892,1.0,2.0,1062.02,1.0,1.0,1.0,0.0,0.1993
,,,,,,,,
8476,11.0,2.0,1060.54,1.0,1.0,1.0,0.0,0.2318
,,,,,,,,
8001,5.0,1.0,1062.94,1.0,1.0,1.0,0.0,0.232
,,,,,,,,
10320,0.0,2.0,1060.2,1.0,1.0,1.0,0.0,0.2007
,,,,,,,,
83230.0,22.0,3.0,,,,,,
8956.0,3.0,0.0,1215.18,3.0,3.0,3.0,0.0,0.1905
7492.0,3,0.0,,,,,,
,,,,,,,,
8053,0.0,0.0,1070.6,1.0,1.0,1.0,0.0,0.0268
,,,,,,,,
7151,6.0,0.0,1072.61,1.0,1.0,1.0,0.0,0.0442
,,,,,,,,
8214,13.0,0.0,1070.46,1.0,1.0,1.0,0.0,0.0715
,,,,,,,,
8008,6.0,0.0,1069.56,1.0,1.0,1.0,0.0,0.047
,,,,,,,,
8304,5.0,1.0,1063.26,1.0,1.0,1.0,0.0,0.233
,,,,,,,,
8191,0.0,1.0,1064.1,1.0,1.0,1.0,0.0,0.2157
,,,,,,,,
8292,13.0,3.0,1061.55,1.0,1.0,1.0,0.0,0.2162
,,,,,,,,
9546,9.0,4.0,1062.87,1.0,1.0,1.0,0.0,0.1856
,,,,,,,,
9837,4.0,3.0,1062.83,1.0,1.0,1.0,0.0,0.1908
,,,,,,,,
10021,11.0,3.0,1064.15,1.0,1.0,1.0,0.0,0.2151
,,,,,,,,
7158,6.0,0.0,1069.6,1.0,1.0,1.0,0.0,0.0442
,,,,,,,,
8826,0.0,0.0,1070.93,1.0,1.0,1.0,0.0,0.0294
,,,,,,,,
7918,11.0,1.0,1059.7,1.0,1.0,1.0,0.0,0.2521
,,,,,,,,
