capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
1498.0,-1.0,0.0,,,,,,
8672,-1.0,3.0,1069.67,0.93,0.96,0.95,0.03,0.0679
986.0,-5.0,0.0,,,,,,
,,,,,,,,
10569,-4.0,0.0,,,,,,
5178.0,4.0,2.0,1070.29,0.95,0.97,0.96,0.02,0.086
-52.0,4.0,0.0,,,,,,
,,,,,,,,
8996,-2.0,0.0,,,,,,
0.0,3.0,0.0,1080.01,0.96,0.97,0.96,0.01,0.0458
1003.0,6.0,7.0,,,,,,
,,,,,,,,
8936,3.0,0.0,,,,,,
2648.0,0.0,0.0,1068.64,0.96,0.98,0.97,0.02,0.0244
,,,,,,,,
8786,-3.0,1.0,,,,,,
2939.0,0.0,0.0,1074.98,0.93,0.96,0.95,0.03,0.082
2992.0,0.0,0.0,,,,,,
,,,,,,,,
8858,0.0,0.0,,,,,,
3000.0,3.0,5.0,1068.5,0.96,0.97,0.96,0.01,0.076
,,,,,,,,
-5825.0,6.0,0.0,,,,,,
7760,0.0,1.0,1057.11,0.85,0.85,0.85,0.0,0.1167
,,,,,,,,
-8691.0,-5.0,0.0,,,,,,
-1813.0,-2.0,0.0,1074.35,0.98,0.99,0.98,0.01,0.0403
8996,8.0,10.0,,,,,,
,,,,,,,,
10208,-5.0,0.0,,,,,,
0.0,6.0,0.0,,,,,,
-3000.0,-3.0,0.0,1082.98,0.95,0.96,0.95,0.01,0.023
3000.0,0.0,0.0,,,,,,
,,,,,,,,
9332,-17.0,0.0,,,,,,
-10931.0,13.0,8.0,1058.61,0.93,0.96,0.95,0.03,0.0921
,,,,,,,,
9656,0.0,1.0,,,,,,
5345.0,0.0,2.0,1068.41,0.94,0.96,0.95,0.02,0.1968
674.0,0.0,1.0,,,,,,
,,,,,,,,
1538.0,4.0,2.0,,,,,,
8049,11.0,4.0,,,,,,
5368.0,0.0,2.0,1092.53,0.92,0.96,0.94,0.04,0.1434
3322.0,1.0,0.0,,,,,,
1436.0,-7.0,4.0,,,,,,
,,,,,,,,
1434.0,-25.0,0.0,,,,,,
202.0,-3.0,1.0,,,,,,
2336.0,0.0,3.0,1076.75,0.94,0.96,0.95,0.02,0.124
8490,-10.0,0.0,,,,,,
,,,,,,,,
7714,4.0,1.0,,,,,,
1362.0,0.0,1.0,1058.61,0.78,0.78,0.78,0.0,0.1411
756.0,-1.0,0.0,,,,,,
,,,,,,,,
8793,-2.0,2.0,,,,,,
-2156.0,-2.0,0.0,1077.62,0.94,0.96,0.95,0.02,0.0726
2994.0,0.0,0.0,,,,,,
,,,,,,,,
6915.0,-2.0,0.0,,,,,,
5666.0,16.0,3.0,1064.12,0.89,0.93,0.91,0.04,0.1209
8149,-15.0,10.0,,,,,,
,,,,,,,,
9381,9.0,5.0,,,,,,
5104.0,0.0,0.0,,,,,,
2281.0,-3.0,0.0,1079.78,0.96,0.98,0.97,0.02,0.0642
5294.0,-12.0,0.0,,,,,,
,,,,,,,,
5124.0,4.0,1.0,,,,,,
4887.0,1.0,1.0,,,,,,
801.0,0.0,5.0,1094.05,0.95,0.98,0.96,0.03,0.145
0.0,1.0,0.0,,,,,,
8948,6.0,3.0,,,,,,
,,,,,,,,
9774,7.0,5.0,,,,,,
2308.0,7.0,1.0,,,,,,
5692.0,5.0,4.0,1093.65,0.96,0.98,0.97,0.02,0.1741
228.0,4.0,9.0,,,,,,
5043.0,72.0,12.0,,,,,,
,,,,,,,,
0.0,3.0,0.0,,,,,,
8072,0.0,1.0,1062.46,0.89,0.93,0.91,0.04,0.1119
,,,,,,,,
3645.0,0.0,0.0,,,,,,
10019,-4.0,1.0,,,,,,
-2468.0,8.0,0.0,1074.15,0.92,0.96,0.94,0.04,0.1215
6812.0,1.0,1.0,,,,,,
,,,,,,,,
9955,1.0,3.0,,,,,,
3721.0,0.0,2.0,,,,,,
3767.0,2.0,1.0,1082.04,0.94,0.97,0.95,0.03,0.1549
-4397.0,-17.0,0.0,,,,,,
,,,,,,,,
1426.0,-1.0,3.0,,,,,,
6351.0,5.0,3.0,,,,,,
3679.0,10.0,1.0,1093.35,0.95,0.97,0.96,0.02,0.1689
9416,-2.0,9.0,,,,,,
2882.0,2.0,1.0,,,,,,
,,,,,,,,
3769.0,2.0,0.0,,,,,,
7659.0,5.0,0.0,,,,,,
1146.0,0.0,1.0,1071.68,0.81,0.79,0.8,0.02,0.0687
5710.0,-1.0,0.0,,,,,,
,,,,,,,,
7610.0,8,2.0,,,,,,
291.0,22.0,0.0,,,,,,
4863.0,-1.0,3.0,1082.24,0.75,0.75,0.75,0.0,0.1803
5313.0,5.0,1.0,,,,,,
239.0,11.0,1.0,,,,,,
,,,,,,,,
6605.0,0.0,0.0,,,,,,
3047.0,1.0,1.0,,,,,,
7626.0,3,0.0,1068.98,0.78,0.74,0.76,0.04,0.067
0.0,3.0,0.0,,,,,,
,,,,,,,,
8166,2.0,0.0,,,,,,
3799.0,0.0,2.0,,,,,,
656.0,0.0,0.0,1096.54,0.91,0.94,0.93,0.03,0.0621
3171.0,2.0,0.0,,,,,,
4246.0,4.0,8.0,,,,,,
,,,,,,,,
1224.0,8.0,1.0,,,,,,
8681,0.0,0.0,,,,,,
6903.0,1.0,5.0,1079.16,0.95,0.97,0.96,0.02,0.1209
7355.0,0.0,6.0,,,,,,
,,,,,,,,
2882.0,3.0,1.0,,,,,,
0.0,2.0,0.0,1071.15,0.91,0.93,0.92,0.02,0.0902
7998,9.0,0.0,,,,,,
,,,,,,,,
1022.0,3.0,1.0,,,,,,
7328.0,6.0,0.0,,,,,,
8571,3.0,2.0,1078.67,0.94,0.97,0.95,0.03,0.1192
1299.0,7.0,0.0,,,,,,
,,,,,,,,
8335,1.0,3.0,,,,,,
6054.0,5.0,2.0,,,,,,
4924.0,5.0,0.0,1075.11,0.93,0.96,0.95,0.03,0.1577
2271.0,8.0,1.0,,,,,,
,,,,,,,,
-294.0,3.0,0.0,,,,,,
5164.0,1.0,4.0,,,,,,
6821.0,5.0,2.0,1091.4,0.89,0.92,0.91,0.03,0.143
3077.0,8.0,5.0,,,,,,
7857,8.0,2.0,,,,,,
,,,,,,,,
5749.0,13.0,1.0,,,,,,
6822.0,-1.0,3.0,,,,,,
9849,7.0,2.0,1091.87,0.96,0.98,0.97,0.02,0.2096
6528.0,2.0,3.0,,,,,,
6741.0,8.0,1.0,,,,,,
,,,,,,,,
8974,13.0,6.0,,,,,,
3915.0,4.0,1.0,,,,,,
483.0,3.0,3.0,1095.2,0.97,0.98,0.97,0.01,0.1531
2694.0,-3.0,0.0,,,,,,
5108.0,5.0,1.0,,,,,,
,,,,,,,,
10159,0.0,1.0,,,,,,
2729.0,0.0,3.0,,,,,,
3473.0,2.0,2.0,1075.18,0.94,0.96,0.95,0.02,0.187
1663.0,0.0,1.0,,,,,,
,,,,,,,,
4275.0,2.0,0.0,,,,,,
2352.0,6.0,5.0,,,,,,
7707,1.0,0.0,1067.74,0.82,0.77,0.79,0.05,0.0983
2636.0,-5.0,1.0,,,,,,
,,,,,,,,
4648.0,12.0,2.0,,,,,,
