capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
7826,1.0,1.0,1047.48,0.93,0.93,0.93,0.0,0.2205
,,,,,,,,
10159,-1.0,0.0,1062.08,0.99,1.0,0.99,0.01,0.0373
,,,,,,,,
8295,4.0,2.0,1044.47,0.97,0.98,0.97,0.01,0.2101
,,,,,,,,
10002,0.0,0.0,1062.28,0.99,1.0,0.99,0.01,0.0333
,,,,,,,,
8807,9.0,1.0,1051.91,0.99,0.99,0.99,0.0,0.2508
,,,,,,,,
7699,2.0,0.0,1052.98,0.91,0.89,0.9,0.02,0.0324
,,,,,,,,
9731,12.0,5.0,1050.6,0.99,1.0,0.99,0.01,0.1783
,,,,,,,,
7975,16.0,9.0,1053.24,0.98,0.99,0.98,0.01,0.1162
,,,,,,,,
7812,15.0,0.0,1059.0,0.97,0.98,0.97,0.01,0.0769
,,,,,,,,
8138,3.0,0.0,1061.54,0.98,0.99,0.98,0.01,0.0373
,,,,,,,,
8908,3.0,1.0,1051.86,0.98,0.99,0.98,0.01,0.2308
,,,,,,,,
8422,0.0,1.0,1051.91,0.98,0.99,0.98,0.01,0.219
,,,,,,,,
8622,9.0,1.0,1051.87,0.99,0.99,0.99,0.0,0.2502
,,,,,,,,
8175,4.0,0.0,1061.36,0.98,0.99,0.98,0.01,0.0408
,,,,,,,,
10052,14.0,4.0,1052.23,0.99,1.0,0.99,0.01,0.2066
,,,,,,,,
8384,1.0,0.0,1062.89,0.99,0.99,0.99,0.0,0.0313
,,,,,,,,
8225,0.0,0.0,1062.03,0.98,0.99,0.98,0.01,0.0274
,,,,,,,,
8065,5.0,0.0,1059.2,0.98,0.99,0.98,0.01,0.0438
,,,,,,,,
8481,0.0,0.0,1063.04,0.99,0.99,0.99,0.0,0.0283
,,,,,,,,
9656,-1.0,1.0,,,,,,
7163.0,3.0,2.0,1058.51,0.99,1.0,0.99,0.01,0.2147
,,,,,,,,
7510,37.0,6.0,1040.85,0.89,0.83,0.86,0.06,0.2352
,,,,,,,,
8501,4.0,3.0,1053.96,0.98,0.99,0.98,0.01,0.1889
,,,,,,,,
7310,15.0,0.0,1049.63,0.88,0.84,0.86,0.04,0.0752
,,,,,,,,
8611,9.0,0.0,1059.08,0.99,1.0,0.99,0.01,0.0592
,,,,,,,,
8134,3.0,0.0,1061.54,0.98,0.99,0.98,0.01,0.0373
,,,,,,,,
7171,3.0,0.0,1043.18,0.81,0.74,0.78,0.07,0.0341
,,,,,,,,
7907,0.0,0.0,1060.98,0.96,0.97,0.96,0.01,0.0264
,,,,,,,,
8193,0.0,0.0,1062.04,0.98,0.99,0.98,0.01,0.0273
,,,,,,,,
9824,13.0,1.0,1050.46,0.99,1.0,0.99,0.01,0.2678
,,,,,,,,
8125,20.0,1.0,1049.14,0.99,1.0,0.99,0.01,0.2858
,,,,,,,,
7342,3.0,0.0,1047.29,0.83,0.77,0.8,0.06,0.0346
,,,,,,,,
7972,0.0,0.0,1060.97,0.96,0.97,0.96,0.01,0.0266
,,,,,,,,
8713,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.029
,,,,,,,,
7600,0.0,0.0,1052.44,0.87,0.82,0.84,0.05,0.0253
,,,,,,,,
8125,18.0,1.0,1044.12,0.99,1.0,0.99,0.01,0.279
,,,,,,,,
8649,2.0,1.0,1050.16,0.98,0.99,0.98,0.01,0.2266
,,,,,,,,
8938,6.0,0.0,1059.63,0.99,1.0,0.99,0.01,0.0501
,,,,,,,,
8481,3.0,0.0,1062.53,0.99,0.99,0.99,0.0,0.0384
,,,,,,,,
7941,0.0,1.0,1049.7,0.93,0.92,0.93,0.01,0.2174
,,,,,,,,
8547,0.0,0.0,1062.52,0.99,1.0,0.99,0.01,0.0285
,,,,,,,,
8133,0.0,0.0,1061.94,0.98,0.99,0.98,0.01,0.0271
,,,,,,,,
7878,5.0,2.0,1050.38,0.94,0.95,0.94,0.01,0.2121
,,,,,,,,
9009,6.0,0.0,1059.45,0.99,1.0,0.99,0.01,0.0504
,,,,,,,,
8587,6.0,3.0,1050.02,0.98,0.99,0.98,0.01,0.196
,,,,,,,,
8813,3.0,0.0,1061.97,0.99,1.0,0.99,0.01,0.0395
,,,,,,,,
8862,3.0,0.0,1061.96,0.99,1.0,0.99,0.01,0.0397
,,,,,,,,
8503,8.0,0.0,1061.18,0.99,1.0,0.99,0.01,0.0554
,,,,,,,,
8569,6.0,5.0,1053.28,0.98,0.99,0.98,0.01,0.1542
,,,,,,,,
9713,15.0,2.0,1048.94,1.0,1.0,1.0,0.0,0.2521
,,,,,,,,
7822,4.0,0.0,1060.32,0.96,0.97,0.96,0.01,0.0396
,,,,,,,,
9027,0.0,1.0,1052.34,0.98,0.99,0.98,0.01,0.2211
,,,,,,,,
8664,3.0,3.0,1054.1,0.98,0.99,0.98,0.01,0.186
,,,,,,,,
7439,7.0,0.0,1049.61,0.85,0.79,0.82,0.06,0.0485
,,,,,,,,
8439,3.0,1.0,1051.94,0.98,0.99,0.98,0.01,0.2293
,,,,,,,,
9183,5.0,2.0,1050.42,0.98,0.99,0.98,0.01,0.2164
,,,,,,,,
8719,0.0,1.0,1052.4,0.98,0.99,0.98,0.01,0.22
,,,,,,,,
9957,3.0,0.0,1061.78,0.99,1.0,0.99,0.01,0.0434
,,,,,,,,
8573,27.0,6.0,,,,,,
