capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8192,-8.0,1.0,1024.49,1.0,1.0,1.0,0.0,0.2464
,,,,,,,,
7671,1.0,2.0,1027.01,1.0,1.0,1.0,0.0,0.1988
,,,,,,,,
8515,7.0,15.0,1024.27,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,
8427,-7.0,0.0,1033.79,1.0,1.0,1.0,0.0,0.0518
,,,,,,,,
9222,-3.0,3.0,1027.12,1.0,1.0,1.0,0.0,0.1888
,,,,,,,,
7929,1.0,0.0,1038.43,1.0,1.0,1.0,0.0,0.0298
,,,,,,,,
8072,-5.0,1.0,1026.52,1.0,1.0,1.0,0.0,0.2359
,,,,,,,,
9564,14.0,0.0,1027.5,1.0,1.0,1.0,0.0,0.0793
,,,,,,,,
10447,-4.0,1.0,1022.86,1.0,1.0,1.0,0.0,0.2405
,,,,,,,,
7749,-2.0,2.0,1022.8,1.0,1.0,1.0,0.0,0.2025
,,,,,,,,
8735,2.0,1.0,1024.5,1.0,1.0,1.0,0.0,0.228
,,,,,,,,
7336,3.0,0.0,1033.12,1.0,1.0,1.0,0.0,0.0346
,,,,,,,,
7598,3.0,0.0,1033.01,1.0,1.0,1.0,0.0,0.0355
,,,,,,,,
7389,-3.0,0.0,1033.62,1.0,1.0,1.0,0.0,0.0348
,,,,,,,,
9695,4.0,2.0,1027.82,1.0,1.0,1.0,0.0,0.2158
,,,,,,,,
8462,5.0,7.0,1028.65,1.0,1.0,1.0,0.0,0.1126
,,,,,,,,
8162,6.0,1.0,1023.45,1.0,1.0,1.0,0.0,0.2396
,,,,,,,,
8864,0.0,5.0,1026.67,1.0,1.0,1.0,0.0,0.135
,,,,,,,,
8973,5.0,3.0,1026.72,1.0,1.0,1.0,0.0,0.1947
,,,,,,,,
7294.0,5.0,5.0,1028.42,1.0,1.0,1.0,0.0,0.1467
,,,,,,,,
7821,7.0,0.0,1031.04,1.0,1.0,1.0,0.0,0.0498
,,,,,,,,
7384,6.0,0.0,1030.8,1.0,1.0,1.0,0.0,0.0449
,,,,,,,,
8054,8.0,0.0,1033.73,1.0,1.0,1.0,0.0,0.0539
,,,,,,,,
8380,2.0,0.0,1035.14,1.0,1.0,1.0,0.0,0.0347
,,,,,,,,
7816,4.0,3.0,1026.08,1.0,1.0,1.0,0.0,0.1875
,,,,,,,,
8321,-5.0,0.0,1031.98,1.0,1.0,1.0,0.0,0.0447
,,,,,,,,
7788,0.0,2.0,1024.13,1.0,1.0,1.0,0.0,0.1959
,,,,,,,,
7920,2.0,2.0,1029.61,1.0,1.0,1.0,0.0,0.2031
,,,,,,,,
7678,-3.0,1.0,1024.16,1.0,1.0,1.0,0.0,0.2278
,,,,,,,,
7596.0,-5.0,0.0,1033.15,1.0,1.0,1.0,0.0,0.0423
,,,,,,,,
7223,0.0,0.0,1031.49,1.0,1.0,1.0,0.0,0.0241
,,,,,,,,
8768,-2.0,2.0,1021.44,1.0,1.0,1.0,0.0,0.2059
,,,,,,,,
7500.0,6,4.0,1029.2,1.0,1.0,1.0,0.0,0.1715
,,,,,,,,
8271,0.0,4.0,1027.39,1.0,1.0,1.0,0.0,0.1537
,,,,,,,,
7689,3.0,1.0,1022.61,1.0,1.0,1.0,0.0,0.2279
,,,,,,,,
8465,4.0,2.0,1024.98,1.0,1.0,1.0,0.0,0.2117
,,,,,,,,
7988,-3.0,3.0,1024.88,1.0,1.0,1.0,0.0,0.1847
,,,,,,,,
8483,4.0,2.0,1023.88,1.0,1.0,1.0,0.0,0.2117
,,,,,,,,
7922,13.0,2.0,1021.76,1.0,1.0,1.0,0.0,0.2404
,,,,,,,,
8653,-5.0,3.0,1026.84,1.0,1.0,1.0,0.0,0.1937
,,,,,,,,
7826,3.0,0.0,1036.0,1.0,1.0,1.0,0.0,0.0363
,,,,,,,,
7472,2.0,0.0,1032.66,1.0,1.0,1.0,0.0,0.0317
,,,,,,,,
8196,24.0,5.0,1022.05,1.0,1.0,1.0,0.0,0.2139
,,,,,,,,
7392,10.0,3.0,1021.8,1.0,1.0,1.0,0.0,0.2064
,,,,,,,,
7750,8.0,2.0,1021.54,1.0,1.0,1.0,0.0,0.2228
,,,,,,,,
9582,5.0,1.0,1020.43,1.0,1.0,1.0,0.0,0.2409
,,,,,,,,
9300,-3.0,3.0,1026.76,1.0,1.0,1.0,0.0,0.1891
,,,,,,,,
7763,6.0,3.0,1025.43,1.0,1.0,1.0,0.0,0.1941
,,,,,,,,
7508,6.0,1.0,1024.47,1.0,1.0,1.0,0.0,0.2374
,,,,,,,,
7778,7.0,0.0,1032.05,1.0,1.0,1.0,0.0,0.0497
,,,,,,,,
8846,-7.0,3.0,1024.85,1.0,1.0,1.0,0.0,0.2011
,,,,,,,,
7691,1.0,0.0,1032.09,1.0,1.0,1.0,0.0,0.029
,,,,,,,,
9487,4.0,4.0,1025.89,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,
8202,3.0,5.0,1026.93,1.0,1.0,1.0,0.0,0.143
,,,,,,,,
8624,0.0,0.0,1037.05,1.0,1.0,1.0,0.0,0.0287
,,,,,,,,
8031,8.0,2.0,1023.19,1.0,1.0,1.0,0.0,0.2238
,,,,,,,,
7866,4.0,0.0,1033.25,1.0,1.0,1.0,0.0,0.0398
,,,,,,,,
8788,0.0,0.0,1038.53,1.0,1.0,1.0,0.0,0.0293
,,,,,,,,
8594,6.0,0.0,1037.45,1.0,1.0,1.0,0.0,0.049
,,,,,,,,
7648,1.0,0.0,1032.42,1.0,1.0,1.0,0.0,0.0289
,,,,,,,,
8041,6.0,1.0,1022.45,1.0,1.0,1.0,0.0,0.2392
,,,,,,,,
8096,2.0,0.0,1033.04,1.0,1.0,1.0,0.0,0.0338
,,,,,,,,
9470,20.0,6.0,1026.54,1.0,1.0,1.0,0.0,0.185
,,,,,,,,
12691.0,23.0,7.0,,,,,,
10290,3.0,3.0,1106.06,3.0,3.0,3.0,0.0,0.1856
11439.0,26.0,8.0,,,,,,
,,,,,,,,
7999.0,13.0,4.0,1022.96,1.0,1.0,1.0,0.0,0.1969
,,,,,,,,
8516,8.0,0.0,1031.41,1.0,1.0,1.0,0.0,0.0555
,,,,,,,,
8433,14.0,4.0,1028.04,1.0,1.0,1.0,0.0,0.2017
,,,,,,,,
7640,7.0,2.0,1023.54,1.0,1.0,1.0,0.0,0.2191
,,,,,,,,
8498,6.0,1.0,1027.84,1.0,1.0,1.0,0.0,0.2407
,,,,,,,,
7764,2.0,1.0,1028.19,1.0,1.0,1.0,0.0,0.2247
,,,,,,,,
8331,-2.0,0.0,1032.21,1.0,1.0,1.0,0.0,0.0346
,,,,,,,,
7967,0.0,4.0,1028.48,1.0,1.0,1.0,0.0,0.1527
,,,,,,,,
8257,12.0,1.0,1018.86,1.0,1.0,1.0,0.0,0.2602
,,,,,,,,
8745,12.0,0.0,1034.59,1.0,1.0,1.0,0.0,0.0698
,,,,,,,,
8807,0.0,0.0,1033.39,1.0,1.0,1.0,0.0,0.0294
,,,,,,,,
8153,0.0,2.0,1028.02,1.0,1.0,1.0,0.0,0.1971
,,,,,,,,
11047.0,24.0,7.0,,,,,,
9931,5.0,3.0,1064.82,2.0,2.0,2.0,0.0,0.1917
,,,,,,,,
8351,15.0,4.0,1021.67,1.0,1.0,1.0,0.0,0.2048
,,,,,,,,
7782,0.0,0.0,1038.7,1.0,1.0,1.0,0.0,0.0259
,,,,,,,,
12696.0,41.0,6.0,,,,,,
9457,4.0,4.0,1068.69,2.0,2.0,2.0,0.0,0.2182
,,,,,,,,
7185.0,1,0.0,1032.8,1.0,1.0,1.0,0.0,0.0274
,,,,,,,,
7412,2.0,0.0,1034.34,1.0,1.0,1.0,0.0,0.0315
,,,,,,,,
9132,0.0,1.0,1020.74,1.0,1.0,1.0,0.0,0.2225
,,,,,,,,
8110,0.0,1.0,1027.26,1.0,1.0,1.0,0.0,0.2191
,,,,,,,,
8758,4.0,0.0,1033.48,1.0,1.0,1.0,0.0,0.0428
,,,,,,,,
8606,4.0,1.0,1026.36,1.0,1.0,1.0,0.0,0.2343
,,,,,,,,
9542,13.0,4.0,1024.07,1.0,1.0,1.0,0.0,0.202
,,,,,,,,
7645,15.0,4.0,1027.66,1.0,1.0,1.0,0.0,0.2025
,,,,,,,,
8105,3.0,0.0,1038.14,1.0,1.0,1.0,0.0,0.0372
,,,,,,,,
9105,7.0,1.0,1024.01,1.0,1.0,1.0,0.0,0.2461
,,,,,,,,
9303,24.0,6.0,1025.45,1.0,1.0,1.0,0.0,0.1978
,,,,,,,,
7963,15.0,3.0,1025.01,1.0,1.0,1.0,0.0,0.2253
,,,,,,,,
7973,8.0,4.0,1026.32,1.0,1.0,1.0,0.0,0.1799
,,,,,,,,
7830,12.0,4.0,1026.39,1.0,1.0,1.0,0.0,0.1929
,,,,,,,,
9470,12.0,4.0,,,,,,
9640.0,0.0,0.0,1068.56,2.0,2.0,2.0,0.0,0.1153
,,,,,,,,
8920,21.0,4.0,1024.12,1.0,1.0,1.0,0.0,0.227
,,,,,,,,
9925,3.0,1.0,1026.32,1.0,1.0,1.0,0.0,0.2353
,,,,,,,,
7442,0.0,0.0,1034.4,1.0,1.0,1.0,0.0,0.0248
,,,,,,,,
8441,2.0,1.0,1028.6,1.0,1.0,1.0,0.0,0.227
,,,,,,,,
7887,11.0,4.0,1024.39,1.0,1.0,1.0,0.0,0.1897
,,,,,,,,
8105,6.0,0.0,1035.71,1.0,1.0,1.0,0.0,0.0474
,,,,,,,,
7754,0.0,3.0,1025.51,1.0,1.0,1.0,0.0,0.1737
,,,,,,,,
7567,12.0,2.0,1023.71,1.0,1.0,1.0,0.0,0.2358
,,,,,,,,
7876,21.0,2.0,1024.46,1.0,1.0,1.0,0.0,0.2672
