FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
0.0,0.2941,18.6366,1112.65,0.83,0.74,0.78,0.09,0.1806
,,,,,,,,
0.0,0.0,18.6372,1115.33,0.81,0.74,0.78,0.07,0.1708
,,,,,,,,
0.0,0.0,18.6402,1115.33,0.81,0.74,0.78,0.07,0.1708
,,,,,,,,
0.0,0.0,19.4067,1121.86,0.85,0.79,0.82,0.06,0.1749
,,,,,,,,
0.0,0.0,18.6142,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,19.4483,1121.84,0.85,0.79,0.82,0.06,0.1751
,,,,,,,,
0.0,0.0,18.6445,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.599,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.0,19.3921,1116.17,0.85,0.76,0.8,0.09,0.1748
,,,,,,,,
0.0,0.2945,18.6269,1112.66,0.83,0.74,0.78,0.09,0.1805
,,,,,,,,
0.0,0.0,19.4574,1121.83,0.85,0.79,0.82,0.06,0.1752
,,,,,,,,
0.0,0.0,18.628,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,19.4055,1121.86,0.85,0.79,0.82,0.06,0.1749
,,,,,,,,
0.0,0.0,19.2029,1114.76,0.84,0.75,0.79,0.09,0.1738
,,,,,,,,
0.0,0.0,18.6808,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.291,18.7387,1112.61,0.83,0.74,0.78,0.09,0.181
,,,,,,,,
0.0,0.0,18.5765,1112.06,0.81,0.72,0.77,0.09,0.1704
,,,,,,,,
0.0,0.2984,18.7465,1112.58,0.83,0.74,0.78,0.09,0.1813
,,,,,,,,
0.0,0.0,18.6115,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.0,18.6473,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.298,18.593,1112.66,0.83,0.74,0.78,0.09,0.1805
,,,,,,,,
0.0,0.0,18.6069,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.0,18.6586,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.7415,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.6039,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.0,18.6743,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,18.6952,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.7245,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.6575,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.579,1112.06,0.81,0.72,0.77,0.09,0.1705
,,,,,,,,
0.0,0.0,18.7534,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.6469,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
