capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
5277.0,6.0,4.0,1137.43,0.97,0.98,0.97,0.01,1.0,1.0,1.0,0.0,0.1506
8423,5.0,9.0,,,,,,,,,,
,,,,,,,,,,,,
8171,15.0,10.0,,,,,,,,,,
6616.0,-4.0,1.0,1134.04,0.96,0.97,0.96,0.01,1.0,1.0,1.0,0.0,0.1777
4462.0,4.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
7826,1.0,1.0,,,,,,,,,,
3129.0,-1.0,0.0,1132.31,0.85,0.85,0.85,0.0,1.0,1.0,1.0,0.0,0.1367
2032.0,9.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
6054.0,6.0,5.0,,,,,,,,,,
3786.0,9.0,1.0,,,,,,,,,,
9272,3.0,7.0,1154.58,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1845
3947.0,17.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
3655.0,3.0,0.0,,,,,,,,,,
588.0,0.0,6.0,,,,,,,,,,
8040,6.0,1.0,1154.57,0.91,0.95,0.93,0.04,1.0,1.0,1.0,0.0,0.1416
4751.0,13.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
2505.0,2.0,1.0,,,,,,,,,,
8110,3.0,5.0,,,,,,,,,,
1989.0,9.0,3.0,1151.93,0.9,0.94,0.92,0.04,1.0,1.0,1.0,0.0,0.1835
5745.0,2.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
5349.0,3.0,0.0,,,,,,,,,,
6601.0,-2.0,0.0,1143.87,0.98,1.0,0.99,0.02,1.0,1.0,1.0,0.0,0.0488
9610,17.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8236,24.0,5.0,1109.03,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.211
,,,,,,,,,,,,
673.0,5.0,1.0,,,,,,,,,,
3326.0,-4.0,0.0,1133.99,0.85,0.89,0.87,0.04,1.0,1.0,1.0,0.0,0.0945
7689,8.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
7615,32.0,9.0,,,,,,,,,,
5549.0,12.0,6.0,,,,,,,,,,
4078.0,9.0,5.0,1151.02,0.86,0.89,0.88,0.03,1.0,1.0,1.0,0.0,0.1675
4554.0,15.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
1010.0,23.0,9.0,,,,,,,,,,
6635.0,6.0,8.0,,,,,,,,,,
9367,4.0,2.0,1156.56,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1448
3909.0,0.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
2585.0,1.0,4.0,,,,,,,,,,
