FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.0,0.0,0.8017,1177.8899999999999,0.8,0.75,0.78,0.05,0.1068
0.0,0.0,3.5041,,,,,,
,,,,,,,,
10.0,1.7794,0.0,,,,,,
0.0,0.0,0.8857,,,,,,
0.2936,0.0,0.0,1205.26,0.8,0.75,0.78,0.05,0.0804
0.0,0.0,3.5362,,,,,,
,,,,,,,,
10.0,1.783,0.7965,,,,,,
0.0,0.0,0.8906,,,,,,
0.0,0.0,0.8862,1204.85,0.8,0.75,0.78,0.05,0.085
0.0,0.286,3.5084,,,,,,
,,,,,,,,
4.7347,0.8709,0.0,,,,,,
0.5938,0.8822,0.0,,,,,,
1.1483,0.0,2.6488,1201.7,0.8,0.75,0.78,0.05,0.12
1.4667,2.0045,7.9199,,,,,,
,,,,,,,,
10.0,1.786,0.0,,,,,,
0.0,0.0,0.8965,1177.92,0.8,0.75,0.78,0.05,0.1065
0.0,0.2532,3.4516,,,,,,
,,,,,,,,
10.0,1.4659,0.8625,,,,,,
0.0,0.2155,0.8766,1170.78,0.8,0.72,0.76,0.08,0.1225
0.2982,0.6069,5.2202,,,,,,
,,,,,,,,
10.0,1.7885,2.6767,,,,,,
0.0,0.5875,0.0,,,,,,
0.0,0.897,1.7624,1204.15,0.8,0.75,0.78,0.05,0.0928
0.0,0.0,0.8902,,,,,,
,,,,,,,,
0.2899,0.0,0.0,,,,,,
0.5808,3.2604,12.9827,1151.01,0.76,0.75,0.76,0.01,0.1343
,,,,,,,,
0.2974,0.0,0.0,,,,,,
0.5844,0.8813,0.8826,1178.6100000000001,0.76,0.75,0.76,0.01,0.1054
1.4246,3.1232,9.6169,,,,,,
,,,,,,,,
10.0,1.7905,0.0,,,,,,
0.0,0.0,0.8971,,,,,,
0.0,0.0,0.8658,1206.3,0.76,0.75,0.76,0.01,0.0756
0.0,0.0,1.7878,,,,,,
,,,,,,,,
10.0,1.7884,1.7904,,,,,,
0.0,0.2958,2.6554,,,,,,
0.282,0.8861,1.7303,1202.24,0.8,0.75,0.78,0.05,0.114
0.8591,0.8593,1.7797,,,,,,
,,,,,,,,
1.1632,0.5874,4.3441,,,,,,
