FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
1.0545,2.4606,13.6591,,,,,,
2.4829,3.0935,8.2591,1076.51,0.84,0.78,0.81,0.06,0.2601
,,,,,,,,
1.5272,3.4281,9.485,,,,,,
2.8856,1.5761,3.8651,1096.47,0.76,0.75,0.76,0.01,0.2217
2.7223,2.2722,6.3226,,,,,,
,,,,,,,,
6.6385,4.3722,6.1962,,,,,,
3.4598,1.4189,3.8314,1098.99,0.96,1.0,0.98,0.04,0.2879
,,,,,,,,
2.4838,4.3651,4.0466,1064.15,0.76,0.81,0.79,0.05,0.255
,,,,,,,,
3.0027,3.9511,7.9467,1060.75,0.76,0.84,0.8,0.08,0.3006
,,,,,,,,
0.9886,4.7321,9.255,,,,,,
4.4068,0.9025,4.4713,1081.24,0.8,0.75,0.78,0.05,0.2436
,,,,,,,,
0.4012,3.3273,13.5706,1065.73,0.76,0.81,0.79,0.05,0.2604
,,,,,,,,
1.4803,3.1731,9.5091,,,,,,
2.5873,3.2133,2.7086,1079.19,0.76,0.75,0.76,0.01,0.2299
,,,,,,,,
3.2609,2.8887,7.5779,1060.37,0.72,0.78,0.75,0.06,0.2726
,,,,,,,,
9.907,4.4922,5.4139,,,,,,
2.0405,0.9757,1.5818,1105.29,0.96,1.0,0.98,0.04,0.2581
,,,,,,,,
4.6776,2.4626,0.8505,1068.09,0.72,0.78,0.75,0.06,0.2241
,,,,,,,,
4.7496,2.5983,2.4869,1076.95,0.8,0.81,0.81,0.01,0.2483
,,,,,,,,
4.7472,2.02,1.7008,1074.51,0.76,0.78,0.77,0.02,0.2219
,,,,,,,,
4.792,1.7205,2.4964,1072.33,0.8,0.75,0.78,0.05,0.2228
,,,,,,,,
4.8903,2.3218,0.0,1068.89,0.72,0.78,0.75,0.06,0.2161
,,,,,,,,
5.1126,1.7479,0.8504,1075.3,0.76,0.78,0.77,0.02,0.214
,,,,,,,,
4.9598,1.7341,0.8672,1075.74,0.76,0.78,0.77,0.02,0.2096
,,,,,,,,
10.0,1.7394,1.6184,1068.67,0.76,0.75,0.76,0.01,0.2793
,,,,,,,,
10.0,2.0409,0.8922,1068.45,0.76,0.78,0.77,0.02,0.2805
,,,,,,,,
10.0,2.0796,0.0,1063.32,0.72,0.78,0.75,0.06,0.2718
,,,,,,,,
10.0,2.0708,0.0,1063.35,0.72,0.78,0.75,0.06,0.2715
,,,,,,,,
10.0,1.7796,0.892,1069.35,0.76,0.75,0.76,0.01,0.2725
,,,,,,,,
