capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8633,4.0,2.0,,,,,,
825.0,1.0,1.0,1069.04,0.96,0.96,0.96,0.0,0.1424
-3252.0,7.0,0.0,,,,,,
,,,,,,,,
8328,6.0,1.0,,,,,,
-2159.0,-3.0,0.0,1069.28,0.96,0.97,0.96,0.01,0.1055
-2194.0,1.0,7.0,,,,,,
,,,,,,,,
10357,0.0,0.0,,,,,,
0.0,6.0,0.0,,,,,,
1510.0,0.0,1.0,1080.45,0.97,0.98,0.97,0.01,0.0672
0.0,6.0,0.0,,,,,,
,,,,,,,,
9855,10.0,1.0,,,,,,
4105.0,3.0,0.0,,,,,,
-1441.0,1.0,0.0,1097.99,0.97,0.98,0.97,0.01,0.0972
898.0,-3.0,0.0,,,,,,
4144.0,-3.0,2.0,,,,,,
,,,,,,,,
7864,0.0,0.0,,,,,,
0.0,-3.0,0.0,1063.86,0.9,0.9,0.9,0.0,0.0182
,,,,,,,,
3000.0,1.0,1.0,,,,,,
7820,7.0,0.0,1066.1,0.92,0.94,0.93,0.02,0.1358
-8951.0,16.0,14.0,,,,,,
,,,,,,,,
8692,0.0,1.0,,,,,,
-2261.0,0.0,0.0,1063.75,0.95,0.96,0.95,0.01,0.1088
,,,,,,,,
8119,0.0,2.0,,,,,,
2264.0,0.0,0.0,,,,,,
-2565.0,-3.0,0.0,1077.25,0.91,0.94,0.93,0.03,0.0861
5262.0,-20.0,8.0,,,,,,
,,,,,,,,
326.0,7.0,0.0,,,,,,
2071.0,6.0,3.0,1072.21,0.98,0.99,0.98,0.01,0.0914
9225,3.0,10.0,,,,,,
,,,,,,,,
8970,11.0,4.0,,,,,,
2078.0,-4.0,8.0,1059.16,0.97,0.98,0.97,0.01,0.1303
,,,,,,,,
10129,-9.0,2.0,,,,,,
753.0,-1.0,0.0,,,,,,
513.0,-2.0,2.0,1094.49,0.94,0.96,0.95,0.02,0.1352
-2105.0,4.0,0.0,,,,,,
2508.0,16.0,1.0,,,,,,
,,,,,,,,
-2062.0,10.0,8.0,,,,,,
9791,7.0,4.0,,,,,,
2827.0,1.0,3.0,1080.89,0.96,0.98,0.97,0.02,0.122
-3909.0,-5.0,11.0,,,,,,
,,,,,,,,
-13890.0,-10.0,10.0,,,,,,
9366,14.0,16.0,,,,,,
-29940.0,0.0,16.0,1075.92,1.0,1.0,1.0,0.0,0.1287
-8614.0,11.0,10.0,,,,,,
,,,,,,,,
3046.0,5.0,4.0,,,,,,
7761,3.0,0.0,,,,,,
-4318.0,-6.0,0.0,1076.59,0.91,0.93,0.92,0.02,0.1091
6145.0,-6.0,1.0,,,,,,
,,,,,,,,
8247,6.0,0.0,,,,,,
813.0,2.0,0.0,1063.94,0.94,0.96,0.95,0.02,0.0287
,,,,,,,,
8015,1.0,0.0,,,,,,
7231.0,7.0,1.0,1055.64,0.9,0.91,0.91,0.01,0.1332
,,,,,,,,
9073,-1.0,2.0,,,,,,
-4482.0,4.0,0.0,1058.17,0.95,0.96,0.95,0.01,0.107
,,,,,,,,
7861,1.0,2.0,,,,,,
-3446.0,-4.0,0.0,,,,,,
-1024.0,3.0,5.0,1071.01,0.87,0.85,0.86,0.02,0.155
1772.0,37.0,2.0,,,,,,
,,,,,,,,
797.0,4.0,0.0,,,,,,
2913.0,-1.0,2.0,1067.76,0.93,0.95,0.94,0.02,0.1177
8234,8.0,5.0,,,,,,
,,,,,,,,
8406,-3.0,3.0,,,,,,
663.0,-2.0,0.0,1059.6,0.94,0.96,0.95,0.02,0.0958
,,,,,,,,
2704.0,-1.0,2.0,,,,,,
8309,3.0,4.0,,,,,,
-1809.0,-5.0,0.0,1082.38,0.95,0.96,0.95,0.01,0.091
-2979.0,2.0,0.0,,,,,,
,,,,,,,,
7769,2.0,0.0,,,,,,
1732.0,-1.0,0.0,,,,,,
-5452.0,-2.0,0.0,1096.54,0.91,0.92,0.92,0.01,0.0713
3164.0,1.0,2.0,,,,,,
13.0,-13.0,6.0,,,,,,
,,,,,,,,
1530.0,4.0,1.0,,,,,,
-2504.0,-8.0,0.0,1061.23,0.86,0.85,0.85,0.01,0.1372
7765,-2.0,3.0,,,,,,
,,,,,,,,
3838.0,-3.0,0.0,,,,,,
1973.0,-7.0,1.0,,,,,,
-18218.0,-13.0,0.0,1096.85,0.95,0.96,0.95,0.01,0.098
9182,-1.0,2.0,,,,,,
-5186.0,-1.0,0.0,,,,,,
,,,,,,,,
9066,0.0,2.0,,,,,,
672.0,5.0,1.0,1063.76,0.95,0.96,0.95,0.01,0.1925
127.0,2.0,2.0,,,,,,
,,,,,,,,
1611.0,0.0,6.0,,,,,,
1567.0,5.0,5.0,,,,,,
8495,6.0,3.0,1095.32,0.96,0.97,0.96,0.01,0.1396
971.0,8.0,12.0,,,,,,
3890.0,5.0,2.0,,,,,,
,,,,,,,,
7319.0,6,0.0,,,,,,
7136.0,5.0,0.0,1055.62,0.79,0.71,0.75,0.08,0.0879
1560.0,-2.0,2.0,,,,,,
,,,,,,,,
9244,-7.0,1.0,,,,,,
573.0,1.0,1.0,,,,,,
-5830.0,1.0,6.0,1077.5,0.94,0.96,0.95,0.02,0.1707
2296.0,2.0,3.0,,,,,,
,,,,,,,,
477.0,5.0,0.0,,,,,,
2666.0,4.0,0.0,,,,,,
-3782.0,1.0,0.0,1088.44,0.95,0.96,0.95,0.01,0.0662
8426,1.0,1.0,,,,,,
,,,,,,,,
-2007.0,12.0,0.0,,,,,,
8276,0.0,3.0,,,,,,
-496.0,3.0,0.0,1096.37,0.93,0.95,0.94,0.02,0.0865
2976.0,0.0,0.0,,,,,,
2205.0,-1.0,1.0,,,,,,
,,,,,,,,
8505,8.0,2.0,,,,,,
5457.0,5.0,2.0,1066.38,0.96,0.98,0.97,0.02,0.1927
3385.0,6.0,4.0,,,,,,
,,,,,,,,
4192.0,7.0,3.0,,,,,,
1449.0,0.0,0.0,,,,,,
3351.0,4.0,1.0,1093.72,0.93,0.95,0.94,0.02,0.1396
6797.0,2.0,1.0,,,,,,
7943,5.0,10.0,,,,,,
,,,,,,,,
4365.0,-2.0,1.0,,,,,,
7113.0,0.0,1.0,,,,,,
7651,0.0,0.0,1072.04,0.8,0.72,0.76,0.08,0.1152
2036.0,2.0,0.0,,,,,,
,,,,,,,,
1636.0,13.0,3.0,,,,,,
-3934.0,-11.0,0.0,,,,,,
8619,-5.0,0.0,1082.92,0.97,0.97,0.97,0.0,0.0763
5389.0,3.0,0.0,,,,,,
,,,,,,,,
8236,2.0,0.0,,,,,,
1402.0,4.0,1.0,,,,,,
254.0,-2.0,1.0,1095.98,0.93,0.95,0.94,0.02,0.0944
4446.0,4.0,0.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
8041,12.0,7.0,,,,,,
5022.0,5.0,0.0,,,,,,
4358.0,3.0,1.0,1097.01,0.94,0.96,0.95,0.02,0.0848
1059.0,-5.0,0.0,,,,,,
-728.0,-7.0,0.0,,,,,,
,,,,,,,,
2690.0,10.0,5.0,,,,,,
7720,3.0,0.0,1064.97,0.86,0.86,0.86,0.0,0.1298
2739.0,3.0,1.0,,,,,,
,,,,,,,,
8722,7.0,5.0,,,,,,
1334.0,0.0,1.0,,,,,,
2771.0,1.0,0.0,1081.94,0.96,0.98,0.97,0.02,0.0926
2731.0,0.0,0.0,,,,,,
,,,,,,,,
8603,11.0,1.0,,,,,,
0.0,2.0,0.0,1074.73,0.97,0.98,0.97,0.01,0.0871
-818.0,0.0,0.0,,,,,,
,,,,,,,,
8502,8.0,2.0,,,,,,
0.0,3.0,0.0,1074.47,0.96,0.98,0.97,0.02,0.0796
0.0,2.0,0.0,,,,,,
,,,,,,,,
1321.0,-3.0,2.0,,,,,,
871.0,5.0,1.0,,,,,,
5197.0,-3.0,2.0,1078.05,0.98,0.99,0.98,0.01,0.1709
9919,-1.0,12.0,,,,,,
,,,,,,,,
7901,3.0,0.0,,,,,,
0.0,2.0,0.0,1079.27,0.91,0.92,0.92,0.01,0.0167
2034.0,0.0,0.0,,,,,,
,,,,,,,,
10349,-7.0,6.0,,,,,,
3331.0,4.0,3.0,,,,,,
2001.0,6.0,1.0,1092.42,0.94,0.96,0.95,0.02,0.1766
1534.0,0.0,3.0,,,,,,
1639.0,4.0,1.0,,,,,,
,,,,,,,,
7837,0.0,0.0,,,,,,
2970.0,0.0,0.0,1078.78,0.9,0.9,0.9,0.0,0.0143
0.0,2.0,0.0,,,,,,
,,,,,,,,
3186.0,2.0,3.0,,,,,,
9209,1.0,0.0,,,,,,
2171.0,-1.0,1.0,1078.65,0.97,0.98,0.97,0.01,0.1428
2956.0,0.0,2.0,,,,,,
,,,,,,,,
7361.0,0.0,1.0,,,,,,
7795,2.0,1.0,,,,,,
2928.0,0.0,1.0,1091.37,0.88,0.87,0.88,0.01,0.1305
2017.0,0.0,0.0,,,,,,
1992.0,2.0,0.0,,,,,,
,,,,,,,,
10150,6.0,1.0,,,,,,
0.0,3.0,0.0,1065.98,0.96,0.97,0.96,0.01,0.1264
,,,,,,,,
8192,1.0,0.0,1059.16,0.93,0.95,0.94,0.02,0.0307
,,,,,,,,
9260,6.0,0.0,,,,,,
2256.0,1.0,1.0,1066.64,0.97,0.99,0.98,0.02,0.1252
,,,,,,,,
9772,11.0,0.0,,,,,,
509.0,2.0,0.0,1071.44,0.98,0.99,0.98,0.01,0.0392
,,,,,,,,
5913.0,-2.0,0.0,,,,,,
520.0,6.0,2.0,,,,,,
754.0,1.0,0.0,1095.98,0.96,0.97,0.96,0.01,0.1264
2699.0,0.0,1.0,,,,,,
10247,4.0,2.0,,,,,,
,,,,,,,,
3842.0,-6.0,2.0,,,,,,
4789.0,2.0,0.0,,,,,,
8569,5.0,0.0,1097.89,0.97,0.98,0.97,0.01,0.0992
4762.0,3.0,1.0,,,,,,
-1147.0,-4.0,0.0,,,,,,
,,,,,,,,
8308,3.0,0.0,1059.07,0.97,0.98,0.97,0.01,0.0379
,,,,,,,,
9629,3.0,1.0,,,,,,
5591.0,3.0,0.0,,,,,,
2451.0,3.0,1.0,1097.54,0.96,0.97,0.96,0.01,0.0952
-1934.0,0.0,0.0,,,,,,
2834.0,0.0,0.0,,,,,,
,,,,,,,,
954.0,10.0,4.0,,,,,,
10106,1.0,3.0,,,,,,
3232.0,4.0,0.0,1095.84,0.95,0.96,0.95,0.01,0.1183
2018.0,7.0,1.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
7646,21.0,2.0,,,,,,
3934.0,8.0,0.0,1066.76,0.83,0.82,0.82,0.01,0.1569
443.0,0.0,2.0,,,,,,
,,,,,,,,
7636,11.0,1.0,,,,,,
2486.0,4.0,0.0,1063.1,0.81,0.76,0.79,0.05,0.1569
2799.0,0.0,1.0,,,,,,
,,,,,,,,
9236,0.0,1.0,,,,,,
152.0,3.0,0.0,1066.0,0.95,0.96,0.95,0.01,0.1149
,,,,,,,,
1591.0,1.0,0.0,,,,,,
1347.0,-3.0,1.0,,,,,,
727.0,0.0,1.0,1082.65,0.79,0.71,0.75,0.08,0.092
7327,6.0,0.0,,,,,,
720.0,-3.0,0.0,,,,,,
,,,,,,,,
8317,0.0,0.0,1061.96,0.97,0.97,0.97,0.0,0.0277
,,,,,,,,
7852,7.0,2.0,,,,,,
1599.0,0.0,3.0,1057.89,0.9,0.91,0.91,0.01,0.183
,,,,,,,,
3018.0,1.0,4.0,,,,,,
8743,3.0,1.0,1067.5,0.95,0.96,0.95,0.01,0.1295
2119.0,5.0,0.0,,,,,,
,,,,,,,,
8577,8.0,2.0,,,,,,
0.0,1.0,0.0,1066.72,0.96,0.98,0.97,0.02,0.1127
,,,,,,,,
8405,3.0,0.0,1059.06,0.97,0.98,0.97,0.01,0.0382
,,,,,,,,
8007,0.0,1.0,1045.0,0.86,0.84,0.85,0.02,0.2151
,,,,,,,,
7743,1.0,0.0,,,,,,
343.0,0.0,0.0,1071.32,0.9,0.91,0.91,0.01,0.0112
