capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8893,0.0,1.0,1046.85,0.95,0.96,0.95,0.01,0.218
,,,,,,,,
8214,14.0,1.0,1042.47,0.94,0.96,0.95,0.02,0.2632
,,,,,,,,
8783,1.0,2.0,1049.61,0.95,0.96,0.95,0.01,0.1989
,,,,,,,,
8119,4.0,1.0,1048.3,0.92,0.94,0.93,0.02,0.229
,,,,,,,,
8271,11.0,2.0,1045.02,0.95,0.97,0.96,0.02,0.2311
,,,,,,,,
8579,9.0,4.0,1048.92,0.96,0.98,0.97,0.02,0.1823
,,,,,,,,
8247,0.0,1.0,1048.86,0.91,0.94,0.93,0.03,0.2159
,,,,,,,,
8100,6.0,2.0,1047.44,0.92,0.95,0.94,0.03,0.2136
,,,,,,,,
8143,3.0,2.0,1044.54,0.92,0.94,0.93,0.02,0.2036
,,,,,,,,
8337,6.0,3.0,1048.65,0.96,0.97,0.96,0.01,0.1926
,,,,,,,,
8085,3.0,1.0,1046.56,0.92,0.94,0.93,0.02,0.2255
,,,,,,,,
7801,0.0,3.0,1045.7,0.86,0.85,0.85,0.01,0.1704
,,,,,,,,
10541,17.0,3.0,1047.53,0.98,0.99,0.98,0.01,0.2372
,,,,,,,,
8029,17.0,2.0,1047.19,0.95,0.97,0.96,0.02,0.2507
,,,,,,,,
7624,2.0,0.0,1047.32,0.81,0.76,0.79,0.05,0.0322
,,,,,,,,
7956,6.0,2.0,1048.85,0.9,0.9,0.9,0.0,0.2131
,,,,,,,,
7675,20.0,2.0,1040.07,0.87,0.9,0.89,0.03,0.2596
,,,,,,,,
9941,0.0,0.0,1059.11,0.97,0.98,0.97,0.01,0.0331
,,,,,,,,
8658,8.0,5.0,1054.0,0.96,0.98,0.97,0.02,0.159
,,,,,,,,
9889,1.0,2.0,1051.52,0.95,0.96,0.95,0.01,0.2026
,,,,,,,,
9378,13.0,1.0,1045.63,0.97,0.98,0.97,0.01,0.2637
,,,,,,,,
8105,1.0,1.0,1046.67,0.91,0.94,0.93,0.03,0.2188
,,,,,,,,
8923,5.0,1.0,1046.36,0.96,0.97,0.96,0.01,0.2351
,,,,,,,,
9572,1.0,3.0,1049.01,0.95,0.96,0.95,0.01,0.1797
,,,,,,,,
9726,29.0,3.0,1047.73,0.99,1.0,0.99,0.01,0.2749
,,,,,,,,
10572,3.0,2.0,1049.34,0.96,0.97,0.96,0.01,0.2117
,,,,,,,,
8694,26.0,3.0,1048.63,0.99,1.0,0.99,0.01,0.2613
,,,,,,,,
9149,11.0,4.0,1049.06,0.97,0.98,0.97,0.01,0.191
,,,,,,,,
9040,5.0,0.0,1058.41,0.97,0.98,0.97,0.01,0.0471
,,,,,,,,
10293,0.0,0.0,1059.18,0.97,0.98,0.97,0.01,0.0343
,,,,,,,,
8616,3.0,1.0,1048.5,0.95,0.96,0.95,0.01,0.2273
,,,,,,,,
8680,0.0,1.0,1047.43,0.95,0.96,0.95,0.01,0.2173
,,,,,,,,
8859,4.0,0.0,1058.97,0.97,0.98,0.97,0.01,0.0431
,,,,,,,,
7921,11.0,1.0,1046.03,0.9,0.92,0.91,0.02,0.2521
,,,,,,,,
8009,3.0,0.0,1056.05,0.91,0.92,0.92,0.01,0.0369
,,,,,,,,
7557,5.0,0.0,1044.69,0.8,0.73,0.77,0.07,0.0422
,,,,,,,,
7752,10.0,3.0,1048.77,0.9,0.92,0.91,0.02,0.2042
,,,,,,,,
9186,6.0,0.0,1058.05,0.97,0.99,0.98,0.02,0.051
,,,,,,,,
10417,14.0,2.0,1050.36,0.97,0.99,0.98,0.02,0.2485
,,,,,,,,
9722,3.0,0.0,1056.26,0.97,0.98,0.97,0.01,0.0426
,,,,,,,,
8211,39.0,3.0,1047.69,0.97,0.98,0.97,0.01,0.3031
,,,,,,,,
8552,6.0,2.0,1049.25,0.96,0.97,0.96,0.01,0.2151
,,,,,,,,
8105,15.0,0.0,1056.38,0.96,0.98,0.97,0.02,0.0779
,,,,,,,,
8081,5.0,2.0,1049.64,0.92,0.94,0.93,0.02,0.2101
,,,,,,,,
10145,0.0,0.0,1059.19,0.97,0.98,0.97,0.01,0.0338
,,,,,,,,
8335,0.0,0.0,1061.69,0.97,0.97,0.97,0.0,0.0278
,,,,,,,,
7868,10.0,0.0,1054.35,0.93,0.94,0.94,0.01,0.0601
,,,,,,,,
7979,15.0,1.0,1046.31,0.91,0.93,0.92,0.02,0.2658
,,,,,,,,
7589.0,3.0,8.0,1043.4,0.79,0.74,0.77,0.05,0.0852
,,,,,,,,
9399,19.0,4.0,1050.38,0.98,0.99,0.98,0.01,0.2189
,,,,,,,,
7996,10.0,2.0,1043.64,0.9,0.92,0.91,0.02,0.2268
,,,,,,,,
8686,1.0,0.0,1061.14,0.97,0.98,0.97,0.01,0.0324
,,,,,,,,
9961,15.0,7.0,1052.04,0.98,0.99,0.98,0.01,0.1498
,,,,,,,,
