capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
409.0,5.0,2.0,1076.09,0.96,0.96,0.96,0.0,0.1902
8309,0.0,3.0,,,,,,
,,,,,,,,
8129,5.0,1.0,,,,,,
1928.0,0.0,3.0,,,,,,
120.0,0.0,1.0,1093.5,0.93,0.94,0.94,0.01,0.154
2045.0,1.0,2.0,,,,,,
-131.0,-2.0,0.0,,,,,,
,,,,,,,,
9048,7.0,0.0,,,,,,
775.0,4.0,2.0,,,,,,
794.0,-2.0,0.0,1082.64,0.98,0.98,0.98,0.0,0.0686
2414.0,5.0,0.0,,,,,,
,,,,,,,,
7869,1.0,2.0,,,,,,
2082.0,-2.0,0.0,,,,,,
2479.0,0.0,0.0,1095.63,0.9,0.88,0.89,0.02,0.0464
0.0,-2.0,0.0,,,,,,
-2610.0,-1.0,0.0,,,,,,
,,,,,,,,
3701.0,23.0,5.0,,,,,,
10128,2.0,2.0,,,,,,
5344.0,1.0,1.0,1093.75,0.97,0.97,0.97,0.0,0.192
2020.0,-1.0,3.0,,,,,,
3834.0,0.0,2.0,,,,,,
,,,,,,,,
8846,12.0,3.0,,,,,,
2847.0,5.0,3.0,,,,,,
1831.0,8.0,1.0,1076.07,0.98,0.98,0.98,0.0,0.196
2873.0,9.0,4.0,,,,,,
,,,,,,,,
8118,5.0,0.0,,,,,,
5071.0,2.0,1.0,1069.81,0.95,0.96,0.95,0.01,0.094
5645.0,-1.0,0.0,,,,,,
,,,,,,,,
8757,3.0,1.0,,,,,,
0.0,6.0,0.0,1070.54,0.96,0.97,0.96,0.01,0.0862
0.0,2.0,0.0,,,,,,
,,,,,,,,
7172.0,5.0,7.0,,,,,,
8207,8.0,0.0,,,,,,
6699.0,2.0,4.0,1097.64,0.96,0.96,0.96,0.0,0.1031
3169.0,2.0,2.0,,,,,,
-98.0,3.0,0.0,,,,,,
,,,,,,,,
