capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
9722,-1.0,0.0,1058.18,0.98,0.98,0.98,0.0,0.0358
,,,,,,,,
7815,10.0,7.0,1047.93,0.93,0.92,0.93,0.01,0.1274
,,,,,,,,
9463,0.0,2.0,1048.12,0.96,0.97,0.96,0.01,0.2014
,,,,,,,,
8200,-8.0,0.0,1056.1,0.93,0.93,0.93,0.0,0.0543
,,,,,,,,
8970,-6.0,2.0,1043.18,0.96,0.95,0.95,0.01,0.2201
,,,,,,,,
8615,8.0,12.0,1054.2,0.99,1.0,0.99,0.01,0.1178
,,,,,,,,
8670,-19.0,13.0,1050.77,1.0,1.0,1.0,0.0,0.1691
,,,,,,,,
9123,6.0,0.0,1057.26,0.98,0.98,0.98,0.0,0.0507
,,,,,,,,
9322,0.0,0.0,1056.57,0.98,0.98,0.98,0.0,0.0311
,,,,,,,,
9278,-1.0,0.0,1057.66,0.98,0.98,0.98,0.0,0.0343
,,,,,,,,
9071,8.0,1.0,1046.1,0.97,0.98,0.97,0.01,0.2494
,,,,,,,,
7700,5.0,3.0,1037.55,0.86,0.83,0.84,0.03,0.1905
,,,,,,,,
8873,6.0,2.0,1049.77,0.97,0.97,0.97,0.0,0.2198
,,,,,,,,
8656,8.0,5.0,1046.42,0.97,0.98,0.97,0.01,0.1615
,,,,,,,,
8955,-2.0,1.0,1043.16,0.96,0.96,0.96,0.0,0.2287
,,,,,,,,
9094,0.0,1.0,1047.74,0.96,0.96,0.96,0.0,0.2224
,,,,,,,,
8453,5.0,1.0,1046.53,0.97,0.97,0.97,0.0,0.2372
,,,,,,,,
8836,-10.0,0.0,1057.77,0.97,0.97,0.97,0.0,0.0631
,,,,,,,,
9185,5.0,1.0,1045.72,0.97,0.97,0.97,0.0,0.2396
,,,,,,,,
10008,4.0,0.0,1055.76,0.98,0.98,0.98,0.0,0.0469
,,,,,,,,
7623,7.0,0.0,1050.74,0.88,0.86,0.87,0.02,0.0491
,,,,,,,,
8693,-12.0,3.0,1047.52,0.95,0.95,0.95,0.0,0.2171
,,,,,,,,
8517,0.0,1.0,1046.14,0.96,0.96,0.96,0.0,0.2205
,,,,,,,,
9221,-8.0,3.0,1046.81,0.95,0.95,0.95,0.0,0.2056
,,,,,,,,
8068,11.0,2.0,1046.13,0.94,0.94,0.94,0.0,0.2341
,,,,,,,,
8098,6.0,3.0,1047.23,0.93,0.94,0.94,0.01,0.1952
,,,,,,,,
9414,0.0,1.0,1046.93,0.96,0.97,0.96,0.01,0.2234
,,,,,,,,
9769,1.0,3.0,1050.65,0.97,0.97,0.97,0.0,0.1838
,,,,,,,,
7775,-7.0,2.0,1034.6,0.87,0.82,0.84,0.05,0.2195
,,,,,,,,
9727,3.0,2.0,1052.0,0.97,0.97,0.97,0.0,0.2125
,,,,,,,,
8291,1.0,6.0,1051.27,0.95,0.96,0.95,0.01,0.1167
,,,,,,,,
8713,-41.0,6.0,1046.57,0.94,0.94,0.94,0.0,0.2358
,,,,,,,,
9464,0.0,3.0,1048.51,0.96,0.97,0.96,0.01,0.1794
,,,,,,,,
8712,-1.0,0.0,1054.97,0.98,0.97,0.97,0.01,0.0324
,,,,,,,,
8807,2.0,0.0,1054.12,0.98,0.98,0.98,0.0,0.0361
,,,,,,,,
8183,-2.0,0.0,1053.61,0.94,0.95,0.94,0.01,0.0341
,,,,,,,,
7702,-1.0,0.0,1044.69,0.86,0.8,0.83,0.06,0.0291
,,,,,,,,
7256.0,4.0,3.0,,,,,,
8015,2.0,4.0,1054.72,0.91,0.89,0.9,0.02,0.1727
,,,,,,,,
7673,5.0,8.0,1048.54,0.88,0.87,0.88,0.01,0.0936
,,,,,,,,
