FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.1766,2.948,3.0558,,,,,,
2.2404,2.2584,5.5102,,,,,,
-1.0245,0.142,12.2473,1086.76,0.89,0.84,0.86,0.05,0.2009
3.0204,1.9343,13.1618,,,,,,
2.0467,3.637,4.3223,,,,,,
,,,,,,,,
-0.1978,1.3925,7.3387,,,,,,
1.0042,1.594,5.8741,,,,,,
0.6162,1.0792,4.8153,1087.05,0.93,0.84,0.89,0.09,0.1849
2.5131,1.8252,7.5156,,,,,,
1.2103,4.2377,15.8568,,,,,,
,,,,,,,,
1.1908,2.0251,0.8234,,,,,,
0.2981,0.9059,1.2356,,,,,,
1.0169,1.1557,1.6128,1084.7,0.81,0.74,0.78,0.07,0.1175
0.2963,1.5873,3.1243,,,,,,
1.959,1.7556,11.3634,,,,,,
,,,,,,,,
0.3785,0.0,0.8676,,,,,,
0.0,0.0,0.8805,,,,,,
0.2283,0.5554,3.0114,1086.32,0.81,0.74,0.78,0.07,0.0771
0.7818,0.5462,1.4493,,,,,,
0.4127,4.2541,8.9296,,,,,,
,,,,,,,,
0.0,0.2945,1.7513,,,,,,
1.994,1.9637,14.2753,1053.56,0.81,0.74,0.78,0.07,0.1461
,,,,,,,,
0.2589,0.2593,0.7759,,,,,,
0.0,0.4903,1.5328,1072.5,0.96,0.89,0.93,0.07,0.1254
0.8977,4.0981,20.563,,,,,,
,,,,,,,,
0.0,-0.1228,0.0,,,,,,
0.1566,0.289,0.0,,,,,,
0.4727,0.6997,4.8751,1075.57,0.81,0.74,0.78,0.07,0.0957
1.8231,3.5648,9.8727,,,,,,
,,,,,,,,
0.0,0.2663,0.8903,,,,,,
0.7595,4.351,7.3176,1054.76,0.78,0.74,0.76,0.04,0.1259
,,,,,,,,
-0.3558,3.7524,18.1972,1040.9,0.85,0.79,0.82,0.06,0.2788
,,,,,,,,
0.0,0.2797,1.6188,,,,,,
2.1105,6.4307,16.7197,1056.07,0.93,0.84,0.89,0.09,0.2094
,,,,,,,,
0.0,0.5646,0.0,,,,,,
0.0,0.5617,0.0,,,,,,
1.0966,0.7211,1.7714,1079.94,0.93,0.84,0.89,0.09,0.1128
1.6316,4.3785,17.2943,,,,,,
,,,,,,,,
0.5158,4.2267,16.7902,1042.77,0.93,0.84,0.89,0.09,0.2901
,,,,,,,,
0.0,0.0,1.6751,,,,,,
