FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
5.1529,0.6934,1.7831,1044.69,0.78,0.79,0.79,0.01,0.2066
,,,,,,,,
5.0691,1.6874,0.0,1041.19,0.78,0.74,0.76,0.04,0.2153
,,,,,,,,
7.2845,1.1656,0.0,1039.78,0.78,0.74,0.76,0.04,0.2505
,,,,,,,,
7.2333,1.1122,0.0,1039.88,0.78,0.74,0.76,0.04,0.2479
,,,,,,,,
4.9135,2.0427,0.0,1040.55,0.81,0.74,0.78,0.07,0.2212
,,,,,,,,
10.0,1.4198,0.0,1038.58,0.78,0.74,0.76,0.04,0.2805
,,,,,,,,
10.0,1.4548,0.0,1038.54,0.78,0.74,0.76,0.04,0.2815
,,,,,,,,
10.0,1.4479,0.0,1038.49,0.78,0.74,0.76,0.04,0.2813
,,,,,,,,
7.9754,1.1964,0.0,1039.32,0.78,0.74,0.76,0.04,0.2621
,,,,,,,,
2.1643,4.9138,5.7348,,,,,,
0.2989,2.0264,1.7526,,,,,,
0.571,1.4398,4.6253,1081.07,1.0,0.95,0.97,0.05,0.1972
0.4165,3.8184,23.0159,,,,,,
,,,,,,,,
5.0844,1.6397,0.0,1041.22,0.78,0.74,0.76,0.04,0.2144
,,,,,,,,
10.0,0.5784,1.759,1042.02,0.78,0.79,0.79,0.01,0.2733
,,,,,,,,
5.0266,2.1113,0.0,1040.3,0.81,0.74,0.78,0.07,0.2264
,,,,,,,,
4.8162,2.3546,0.8941,1039.84,0.81,0.74,0.78,0.07,0.2371
,,,,,,,,
4.364,3.3752,0.0,1039.96,0.78,0.74,0.76,0.04,0.2427
,,,,,,,,
5.3384,1.582,0.8749,1040.55,0.78,0.74,0.76,0.04,0.2294
,,,,,,,,
5.1795,1.5336,0.5607,1040.92,0.78,0.74,0.76,0.04,0.2202
,,,,,,,,
1.3307,1.414,4.0782,,,,,,
0.5919,2.8239,23.4202,1066.25,1.0,1.0,1.0,0.0,0.209
,,,,,,,,
1.1551,1.9914,5.4045,,,,,,
1.0762,0.4855,4.9737,,,,,,
1.0799,1.0991,4.3251,1075.48,0.89,0.84,0.86,0.05,0.1844
2.835,3.577,16.6508,,,,,,
,,,,,,,,
1.5578,0.8055,6.0017,,,,,,
0.4006,1.1916,6.0294,,,,,,
0.6628,-0.3787,4.9177,1071.14,0.81,0.74,0.78,0.07,0.1593
1.9145,3.564,11.1048,,,,,,
,,,,,,,,
1.8829,1.3571,3.3819,,,,,,
0.5256,-0.2327,11.4233,1062.89,0.85,0.79,0.82,0.06,0.1919
2.5161,1.6994,17.6804,,,,,,
,,,,,,,,
0.3806,1.9242,14.0596,,,,,,
3.1057,4.0959,10.0836,,,,,,
2.8573,3.313,3.8505,1075.36,0.93,0.84,0.89,0.09,0.2203
1.0664,1.8282,1.528,,,,,,
,,,,,,,,
1.6001,5.1874,12.7016,,,,,,
3.1084,3.6025,11.5243,,,,,,
2.6313,3.495,9.1172,1082.49,0.93,0.84,0.89,0.09,0.2991
1.9822,4.0077,10.5132,,,,,,
2.5179,4.4153,4.736,,,,,,
,,,,,,,,
0.0,2.3941,10.3502,,,,,,
3.7438,3.1422,7.2112,1062.73,0.85,0.79,0.82,0.06,0.213
2.0523,1.4169,4.1861,,,,,,
,,,,,,,,
