FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
1.0455,4.3222,4.0877,,,,,,,,,,
-0.7644,1.6893,4.3753,,,,,,,,,,
0.9551,0.0952,8.2143,1121.8,0.79,0.86,0.82,0.07,1.0,1.0,1.0,0.0,0.1825
3.1485,-1.8344,-11.7999,,,,,,,,,,
,,,,,,,,,,,,
10.0,3.6115,0.8919,,,,,,,,,,
1.0086,0.1296,0.0,,,,,,,,,,
0.2947,0.5757,3.4794,1131.15,0.91,1.0,0.96,0.09,1.0,1.0,1.0,0.0,0.1162
0.0,0.0,0.8812,,,,,,,,,,
,,,,,,,,,,,,
4.2932,2.8555,4.269,,,,,,,,,,
1.1723,1.1773,0.882,,,,,,,,,,
0.8577,0.858,4.2965,1165.3,0.91,1.0,0.96,0.09,2.0,2.0,2.0,0.0,0.2
2.3295,4.9782,9.4961,,,,,,,,,,
,,,,,,,,,,,,
0.266,0.8799,1.6895,,,,,,,,,,
0.5767,0.2586,0.0,,,,,,,,,,
0.2952,0.2911,1.7659,1127.87,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.0821
0.5557,0.8808,16.3885,,,,,,,,,,
,,,,,,,,,,,,
1.1291,0.776,2.3736,,,,,,,,,,
1.4374,1.5725,3.7416,,,,,,,,,,
0.5745,1.6909,4.1072,1123.92,0.82,0.9,0.86,0.08,1.0,1.0,1.0,0.0,0.1719
2.5676,4.293,11.3384,,,,,,,,,,
,,,,,,,,,,,,
0.5709,0.7982,1.6587,,,,,,,,,,
0.8194,1.4999,3.3969,1108.1,0.74,0.81,0.78,0.07,1.0,1.0,1.0,0.0,0.1501
1.403,3.7474,9.9684,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.9915,16.3503,1081.93,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.1892
,,,,,,,,,,,,
0.2958,1.0354,0.8636,,,,,,,,,,
0.2848,1.5934,4.3458,1114.4,0.85,0.9,0.88,0.05,1.0,1.0,1.0,0.0,0.1626
1.7817,3.7489,14.8289,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.1275,0.8421,,,,,,,,,,
0.8257,-0.1083,2.4812,,,,,,,,,,
0.5761,0.4641,6.3307,1125.97,0.82,0.9,0.86,0.08,1.0,1.0,1.0,0.0,0.1207
1.2845,3.5381,15.3568,,,,,,,,,,
,,,,,,,,,,,,
0.0322,2.0182,-1.4002,,,,,,,,,,
2.7505,1.2591,1.1103,,,,,,,,,,
0.4239,1.0088,0.4294,1127.84,0.85,0.9,0.88,0.05,1.0,1.0,1.0,0.0,0.1391
0.4814,3.6712,14.8203,,,,,,,,,,
,,,,,,,,,,,,
1.1195,1.1821,2.6614,,,,,,,,,,
0.2887,0.2989,0.8504,,,,,,,,,,
0.5854,0.8884,3.3241,1128.8899999999999,0.91,0.86,0.89,0.05,1.0,1.0,1.0,0.0,0.1265
1.1581,2.8054,16.3108,,,,,,,,,,
,,,,,,,,,,,,
0.5956,0.0,0.0,,,,,,,,,,
0.2881,0.8858,1.7534,,,,,,,,,,
0.2855,0.873,2.6804,1127.36,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.0948
0.5702,1.7463,16.3798,,,,,,,,,,
,,,,,,,,,,,,
0.2928,0.0,0.0,,,,,,,,,,
0.0,0.0,0.8792,1115.54,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.0778
0.5917,1.1468,16.2976,,,,,,,,,,
,,,,,,,,,,,,
0.568,3.7112,14.7501,1082.01,0.82,0.9,0.86,0.08,1.0,1.0,1.0,0.0,0.2822
,,,,,,,,,,,,
0.0,0.0,0.8442,,,,,,,,,,
0.0,2.2902,16.5504,1101.31,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.1209
,,,,,,,,,,,,
0.0,0.0,0.7592,,,,,,,,,,
1.1623,1.9633,14.7537,1096.76,0.74,0.81,0.78,0.07,1.0,1.0,1.0,0.0,0.1284
,,,,,,,,,,,,
0.5861,0.0,0.0,,,,,,,,,,
0.5849,1.7543,16.3732,1100.94,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.1266
,,,,,,,,,,,,
0.0,0.0,0.6877,,,,,,,,,,
0.0,0.0,15.7751,1099.54,0.74,0.76,0.75,0.02,1.0,1.0,1.0,0.0,0.0802
,,,,,,,,,,,,
0.0,0.0,0.8537,,,,,,,,,,
0.0,0.2946,16.4595,1099.42,0.82,0.76,0.79,0.06,1.0,1.0,1.0,0.0,0.0882
,,,,,,,,,,,,
0.0,1.3254,15.7654,1083.94,0.76,0.76,0.76,0.0,1.0,1.0,1.0,0.0,0.1964
,,,,,,,,,,,,
0.0,0.0,0.7911,,,,,,,,,,
0.0,0.2958,0.7513,1116.68,0.85,0.9,0.88,0.05,1.0,1.0,1.0,0.0,0.1055
0.8003,3.6706,14.8708,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.0,0.8775,,,,,,,,,,
0.2799,1.1266,16.5171,1101.87,0.85,0.81,0.83,0.04,1.0,1.0,1.0,0.0,0.1069
,,,,,,,,,,,,
0.2956,1.7212,16.2787,1080.61,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.2223
,,,,,,,,,,,,
0.2791,0.8688,15.8941,1084.14,0.76,0.76,0.76,0.0,1.0,1.0,1.0,0.0,0.1916
,,,,,,,,,,,,
0.7716,3.7565,15.0237,1084.1,0.85,0.9,0.88,0.05,1.0,1.0,1.0,0.0,0.2924
,,,,,,,,,,,,
0.0,0.0,0.8253,,,,,,,,,,
0.0,0.0,0.7591,1112.48,0.74,0.76,0.75,0.02,1.0,1.0,1.0,0.0,0.0692
0.0,1.131,15.7603,,,,,,,,,,
,,,,,,,,,,,,
0.294,0.8919,15.8022,1084.11,0.76,0.76,0.76,0.0,1.0,1.0,1.0,0.0,0.1922
,,,,,,,,,,,,
0.5411,1.7111,15.8595,1081.85,0.76,0.81,0.79,0.05,1.0,1.0,1.0,0.0,0.2274
,,,,,,,,,,,,
0.0,0.7991,15.9318,1084.59,0.76,0.76,0.76,0.0,1.0,1.0,1.0,0.0,0.1803
,,,,,,,,,,,,
0.2737,0.4769,0.0,,,,,,,,,,
0.2934,0.5927,16.2765,1097.79,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.1053
,,,,,,,,,,,,
0.2901,1.1351,16.4324,1081.34,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.2041
,,,,,,,,,,,,
0.0,1.7537,16.5326,1080.9,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.2151
,,,,,,,,,,,,
0.2981,0.583,15.9775,1084.06,0.79,0.76,0.78,0.03,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.5664,15.7355,1083.4,0.74,0.76,0.75,0.02,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.5819,15.8436,1084.9,0.76,0.76,0.76,0.0,1.0,1.0,1.0,0.0,0.1726
,,,,,,,,,,,,
0.0,2.2646,16.3729,1080.28,0.85,0.76,0.8,0.09,1.0,1.0,1.0,0.0,0.2305
,,,,,,,,,,,,
