capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
9985,-11.0,5.0,,,,,,,,,,
1889.0,-1.0,1.0,,,,,,,,,,
4468.0,3.0,1.0,1198.31,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.3569
3515.0,1.0,3.0,,,,,,,,,,
2079.0,-1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
7624,4.0,0.0,,,,,,,,,,
691.0,2.0,0.0,,,,,,,,,,
-1993.0,5.0,1.0,1194.87,0.84,0.75,0.79,0.09,1.0,1.0,1.0,0.0,0.1513
3225.0,0.0,0.0,,,,,,,,,,
1638.0,-4.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
7777,30.0,1.0,,,,,,,,,,
2658.0,12.0,3.0,,,,,,,,,,
4677.0,4.0,3.0,1184.94,0.84,0.86,0.85,0.02,1.0,1.0,1.0,0.0,0.3806
-2810.0,-3.0,3.0,,,,,,,,,,
4546.0,6.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
10253,1.0,2.0,,,,,,,,,,
3000.0,-1.0,0.0,,,,,,,,,,
3028.0,-1.0,2.0,1220.01,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1499
1389.0,-3.0,0.0,,,,,,,,,,
-1377.0,-2.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9467,2.0,1.0,,,,,,,,,,
-2217.0,4.0,3.0,,,,,,,,,,
-957.0,5.0,3.0,1199.17,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.3483
2215.0,1.0,2.0,,,,,,,,,,
2050.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
2346.0,-13.0,1.0,,,,,,,,,,
-289.0,6.0,2.0,,,,,,,,,,
9111,4.0,3.0,1199.31,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.3569
-1627.0,1.0,1.0,,,,,,,,,,
-4899.0,2.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8440,11.0,2.0,,,,,,,,,,
6264.0,-9.0,0.0,,,,,,,,,,
7298.0,1.0,2.0,1205.03,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2997
-9703.0,3.0,2.0,,,,,,,,,,
82.0,5.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
9889,13.0,5.0,,,,,,,,,,
6095.0,0.0,2.0,,,,,,,,,,
2621.0,1.0,0.0,1206.6,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.294
2050.0,2.0,1.0,,,,,,,,,,
-2970.0,7.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8689,10.0,5.0,,,,,,,,,,
1788.0,3.0,4.0,,,,,,,,,,
