FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
10.0,1.4537,6.9732,,,,,,,,,,
1.6272,-0.0628,0.9149,10203.48,0.8,0.75,0.78,0.05,1.0,1.0,1.0,0.0,0.165
0.5895,-3.4033,0.1324,,,,,,,,,,
,,,,,,,,,,,,
2.3676,0.0,0.0,,,,,,,,,,
0.296,0.0,0.0,,,,,,,,,,
0.0,0.0,0.8953,10262.37,0.84,0.75,0.79,0.09,1.0,1.0,1.0,0.0,0.0763
0.2988,0.5932,18.7747,,,,,,,,,,
,,,,,,,,,,,,
10.0,1.1961,4.4911,,,,,,,,,,
0.5947,0.2975,0.8986,10235.63,0.88,0.81,0.84,0.07,1.0,1.0,1.0,0.0,0.1637
0.0,0.297,14.0256,,,,,,,,,,
,,,,,,,,,,,,
3.5272,0.5635,1.786,,,,,,,,,,
0.4432,1.1614,14.9043,10202.44,0.84,0.75,0.79,0.09,1.0,1.0,1.0,0.0,0.1756
,,,,,,,,,,,,
2.3576,0.8844,1.7758,,,,,,,,,,
0.0,0.0,0.8971,,,,,,,,,,
0.0,0.2969,4.4373,10264.04,0.84,0.78,0.81,0.06,1.0,1.0,1.0,0.0,0.1096
1.1523,0.8924,18.5737,,,,,,,,,,
,,,,,,,,,,,,
2.3746,0.2947,0.0,,,,,,,,,,
0.0,0.0,0.8894,10234.14,0.84,0.75,0.79,0.09,1.0,1.0,1.0,0.0,0.1086
0.0,1.7112,18.0691,,,,,,,,,,
,,,,,,,,,,,,
1.4723,0.299,0.8764,,,,,,,,,,
0.0,0.0,0.8557,10241.34,0.76,0.75,0.76,0.01,1.0,1.0,1.0,0.0,0.0866
0.0,0.0641,18.6193,,,,,,,,,,
,,,,,,,,,,,,
1.1859,0.297,0.0,,,,,,,,,,
0.2953,1.0298,18.8102,10205.86,0.84,0.75,0.79,0.09,1.0,1.0,1.0,0.0,0.1374
,,,,,,,,,,,,
10.0,1.9895,-0.7427,,,,,,,,,,
-0.5501,-0.2887,-0.7502,10197.03,0.72,0.81,0.77,0.09,1.0,1.0,1.0,0.0,0.1563
,,,,,,,,,,,,
9.6551,1.9242,0.0,,,,,,,,,,
0.2503,0.0,0.0,10204.9,0.72,0.78,0.75,0.06,1.0,1.0,1.0,0.0,0.1376
,,,,,,,,,,,,
9.313,1.8729,0.0,10167.53,0.72,0.78,0.75,0.06,1.0,1.0,1.0,0.0,0.2647
,,,,,,,,,,,,
8.8365,1.7264,2.6012,10159.88,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.2874
,,,,,,,,,,,,
10.0,1.9303,0.8888,,,,,,,,,,
0.0,0.0,0.576,10210.44,0.76,0.78,0.77,0.02,1.0,1.0,1.0,0.0,0.1418
,,,,,,,,,,,,
10.0,2.0543,0.0,10166.9,0.72,0.78,0.75,0.06,1.0,1.0,1.0,0.0,0.271
,,,,,,,,,,,,
10.0,2.049,1.2834,,,,,,,,,,
0.1594,0.0,0.7043,10208.55,0.76,0.78,0.77,0.02,1.0,1.0,1.0,0.0,0.1491
,,,,,,,,,,,,
10.0,2.073,0.0,,,,,,,,,,
0.2985,0.0,0.0,10204.93,0.72,0.78,0.75,0.06,1.0,1.0,1.0,0.0,0.1407
,,,,,,,,,,,,
10.0,1.9535,0.888,,,,,,,,,,
0.2453,0.227,0.0,10209.79,0.76,0.78,0.77,0.02,1.0,1.0,1.0,0.0,0.1468
,,,,,,,,,,,,
0.0,0.0,18.8337,10174.64,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1836
,,,,,,,,,,,,
0.0,0.0,19.6568,10183.16,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1884
,,,,,,,,,,,,
0.0,0.0,18.8153,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.0,18.7936,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,19.6238,10179.18,0.8,0.75,0.78,0.05,1.0,1.0,1.0,0.0,0.1882
,,,,,,,,,,,,
0.0,0.0,18.8064,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.0,19.666,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,19.6764,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,19.6829,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.0,18.8493,10174.63,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1837
,,,,,,,,,,,,
0.0,0.0,19.6861,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.0,19.6801,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.2991,19.6782,10182.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1985
,,,,,,,,,,,,
0.0,0.0,19.6651,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,19.6745,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,18.7935,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,19.6626,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,19.6671,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,18.8495,10174.63,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1837
,,,,,,,,,,,,
0.0,0.0,19.6824,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.0,19.676,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.0,18.8023,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,18.7979,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,19.6422,10183.17,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1883
,,,,,,,,,,,,
0.0,0.0,18.7944,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,18.8061,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.0,19.6411,10183.17,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1883
,,,,,,,,,,,,
0.0,0.0,18.8092,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.2997,19.6729,10182.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1985
,,,,,,,,,,,,
0.0,0.0,19.6881,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.0,19.6866,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.0,18.806,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.0,19.6702,10183.15,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1885
,,,,,,,,,,,,
0.0,0.2961,19.6658,10182.17,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1983
,,,,,,,,,,,,
0.0,0.0,18.7938,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,19.6171,10179.18,0.8,0.75,0.78,0.05,1.0,1.0,1.0,0.0,0.1882
,,,,,,,,,,,,
0.0,0.0,18.81,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.0,18.8159,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
,,,,,,,,,,,,
0.0,0.0,18.8271,10174.65,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1835
,,,,,,,,,,,,
0.0,0.0,19.6581,10183.16,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1884
,,,,,,,,,,,,
0.0,0.0,18.8447,10174.64,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1836
,,,,,,,,,,,,
0.0,0.0,18.7963,10174.67,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1833
,,,,,,,,,,,,
0.0,0.0,18.8313,10174.65,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1835
,,,,,,,,,,,,
0.0,0.0,18.837,10174.64,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1836
,,,,,,,,,,,,
0.0,0.0,19.685,10183.14,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1886
,,,,,,,,,,,,
0.0,0.0,19.6523,10183.16,0.8,0.78,0.79,0.02,1.0,1.0,1.0,0.0,0.1884
,,,,,,,,,,,,
0.0,0.0,18.8049,10174.66,0.8,0.72,0.76,0.08,1.0,1.0,1.0,0.0,0.1834
